EXPENSE_ID,TITLE,AMOUNT,LABEL,COMMENTS,EXPENSE_DATE,CREATED_AT,ATTACHMENT,TYPE,CATEGORY,EXPENSE_NUMBER,UPDATED_AT,STATUS,EXPECTED_PAYMENT_DATE
63,Céder Facture,22.53,Frais île,Prétendre position étranger haïr.,2025-07-22,2025-07-23,,other,Maintenance,EXP-2025-00063,2025-07-23,paid,2025-08-16
64,Route Achat,20.97,Service plusieurs,Loup intérêt pitié gros.,2025-07-22,2025-07-23,,subscription,Assurances,EXP-2025-00064,2025-08-01,paid,2025-08-31
65,Vingt Facture,104.59,Remboursement Adam,,2025-07-22,2025-07-23,,professional,Transport,EXP-2025-00065,2025-08-16,paid,2025-09-05
66,Face Achat,161.58,Frais peau,Crainte mien beau agent animal poids.,2025-07-22,2025-07-23,,food,Transport,EXP-2025-00066,2025-07-26,paid,2025-09-10
67,Marquer Achat,51.54,Achat trait,,2025-07-22,2025-07-22,,marketing,Frais professionnels,EXP-2025-00067,2025-07-22,unpaid,2025-08-08
68,Table Dépense,121.85,Facture Berthelot,Colline dresser douze grandir besoin secrétaire.,2025-07-22,2025-07-22,,professional,Abonnements,EXP-2025-00068,2025-07-22,paid,2025-09-03
69,Oiseau Dépense,72.92,Frais vendre,Mouvement médecin entrée vraiment.,2025-07-22,2025-07-24,,travel,Assurances,EXP-2025-00069,2025-07-24,unpaid,2025-08-15
70,Cinq Frais,32.59,Achat plante,,2025-07-22,2025-07-24,,marketing,R&D,EXP-2025-00070,2025-07-24,paid,2025-07-29
71,Aventure Achat,72.9,Frais énorme,,2025-07-22,2025-07-24,,travel,Services publics,EXP-2025-00071,2025-07-24,unpaid,2025-09-11
72,Fort Dépense,186.87,Service bête,,2025-07-22,2025-07-23,,marketing,Marketing,EXP-2025-00072,2025-07-23,paid,2025-07-30
73,Calme Dépense,53.06,Frais tenter,,2025-07-22,2025-07-24,,marketing,Restauration,EXP-2025-00073,2025-08-22,unpaid,2025-08-24
74,Article Facture,190.89,Remboursement Lemonnier,Intelligence vêtir fait tu quelque.,2025-07-22,2025-07-23,,food,Frais de représentation,EXP-2025-00074,2025-08-04,paid,2025-08-22
75,Gauche Facture,6.71,Note Saint Emmanuelle-la-Forêt,,2025-07-22,2025-07-22,,maintenance,Logiciels,EXP-2025-00075,2025-07-22,paid,2025-08-03
76,Si Dépense,105.37,Facture Charles,Convenir demande aimer note.,2025-07-22,2025-07-24,,food,Hébergement,EXP-2025-00076,2025-08-03,paid,2025-07-30
77,Honte Frais,58.54,Service existence,Comme étaler soit autorité.,2025-07-22,2025-07-23,,marketing,Restauration,EXP-2025-00077,2025-07-23,unpaid,2025-08-19
78,Épais Dépense,42.98,Achat occuper,,2025-07-22,2025-07-23,,travel,Logiciels,EXP-2025-00078,2025-08-01,paid,2025-07-25
79,Écrire Achat,58.76,Facture Launay,,2025-07-22,2025-07-23,,food,R&D,EXP-2025-00079,2025-07-23,paid,2025-09-15
80,Brusquement Dépense,11.13,Frais compagnie,Lors quel céder.,2025-07-22,2025-07-24,,equipment,Services publics,EXP-2025-00080,2025-08-11,paid,2025-09-12
81,Lutte Frais,45.8,Remboursement Duval,Triste mentir peur.,2025-07-22,2025-07-22,,professional,Restauration,EXP-2025-00081,2025-07-22,paid,2025-08-01
82,Prêt Dépense,72.65,Frais pluie,,2025-07-22,2025-07-23,,food,Logiciels,EXP-2025-00082,2025-07-23,paid,2025-09-08
83,Tellement Frais,178.09,Remboursement Brunet,Personne pièce lit caractère carte demande.,2025-07-22,2025-07-24,,office,Services publics,EXP-2025-00083,2025-07-24,paid,2025-09-17
84,Tache Dépense,36.07,Remboursement Wagner,Vingt maison religion jour type nord.,2025-07-22,2025-07-24,,other,Déplacements,EXP-2025-00084,2025-07-24,paid,2025-08-18
85,Arrêter Achat,28.59,Achat ni,,2025-07-22,2025-07-22,,lodging,Matériel informatique,EXP-2025-00085,2025-08-04,paid,2025-07-26
86,D'autres Facture,36.55,Achat fil,Conseil relever amener chasser appartenir joue fauteuil vivant.,2025-07-22,2025-07-22,,equipment,Frais professionnels,EXP-2025-00086,2025-07-30,paid,2025-08-03
87,Sûr Dépense,113.56,Achat rassurer,,2025-07-22,2025-07-23,,professional,R&D,EXP-2025-00087,2025-08-04,paid,2025-07-24
88,Écarter Facture,71.02,Note Jourdan,,2025-07-22,2025-07-24,,food,Restauration,EXP-2025-00088,2025-07-24,paid,2025-07-29
89,Nerveux Achat,35.74,Frais troubler,,2025-07-22,2025-07-24,,professional,Fournitures bureau,EXP-2025-00089,2025-08-14,paid,2025-08-12
90,Étudier Achat,82.32,Note Germain,,2025-07-22,2025-07-24,,maintenance,Frais bancaires,EXP-2025-00090,2025-07-24,paid,2025-09-09
91,Disparaître Dépense,59.01,Note Barre,,2025-07-22,2025-07-22,,office,Frais de représentation,EXP-2025-00091,2025-07-22,unpaid,2025-08-26
92,Pièce Facture,118.5,Frais lier,Faux placer train assurer pourquoi réussir.,2025-07-22,2025-07-24,,maintenance,Frais bancaires,EXP-2025-00092,2025-07-24,paid,2025-08-31
93,Peser Facture,31.14,Achat expérience,,2025-07-22,2025-07-22,,food,Services publics,EXP-2025-00093,2025-07-22,paid,2025-09-13
94,Déjà Facture,42.01,Frais toit,Madame si compagnie souvent noir révéler.,2025-07-22,2025-07-22,,food,Transport,EXP-2025-00094,2025-07-22,paid,2025-08-02
95,An Achat,39.9,Frais science,,2025-07-22,2025-07-23,,professional,Frais professionnels,EXP-2025-00095,2025-07-23,paid,2025-09-01
96,Quitter Achat,16.93,Remboursement Breton,Franc un guère croiser habiller pouvoir.,2025-07-22,2025-07-22,,marketing,Matériel informatique,EXP-2025-00096,2025-07-26,paid,2025-08-24
97,Succès Frais,69.19,Remboursement Lamy,Inspirer dos hasard.,2025-07-22,2025-07-22,,other,Logiciels,EXP-2025-00097,2025-07-22,paid,2025-08-24
98,Élever Frais,67.28,Facture Vincent,But vieux sac.,2025-07-22,2025-07-23,,equipment,Fournitures bureau,EXP-2025-00098,2025-08-07,paid,2025-07-31
99,Donc Achat,54.82,Facture Gosselin S.A.R.L.,,2025-07-22,2025-07-24,,travel,Matériel informatique,EXP-2025-00099,2025-07-24,paid,2025-08-08
100,Violent Facture,45.26,Achat envoyer,Recueillir foi ceci.,2025-07-22,2025-07-23,,food,Marketing,EXP-2025-00100,2025-07-23,unpaid,2025-08-15
101,Comment Dépense,17.6,Achat éclairer,,2025-07-22,2025-07-22,,travel,Transport,EXP-2025-00101,2025-07-22,unpaid,2025-09-08
102,Papier Frais,39.0,Frais vivre,,2025-07-22,2025-07-22,,professional,Maintenance,EXP-2025-00102,2025-07-26,unpaid,2025-09-20
103,Ni Achat,41.51,Frais cou,Lutte folie long intérêt.,2025-07-22,2025-07-22,,maintenance,Matériel informatique,EXP-2025-00103,2025-08-15,unpaid,2025-09-10
104,Ennemi Frais,28.74,Remboursement Navarro,Mentir avance lier soirée.,2025-07-22,2025-07-22,,maintenance,Assurances,EXP-2025-00104,2025-07-22,paid,2025-08-24
105,Ça Dépense,47.99,Achat choisir,,2025-07-22,2025-07-23,,food,Marketing,EXP-2025-00105,2025-07-30,unpaid,2025-08-05
106,Qualité Dépense,75.43,Facture Legros,Résultat direction dehors honneur bout.,2025-07-22,2025-07-24,,other,Frais professionnels,EXP-2025-00106,2025-07-24,paid,2025-08-01
107,Moindre Dépense,246.89,Note Thierry-sur-Mer,Escalier ça science violence honneur.,2025-07-22,2025-07-23,,maintenance,Loyer,EXP-2025-00107,2025-08-20,paid,2025-07-31
108,Famille Dépense,62.78,Achat rapporter,Autrement désigner goutte lorsque police profondément.,2025-07-22,2025-07-24,,other,R&D,EXP-2025-00108,2025-07-24,paid,2025-09-16
109,Lequel Frais,67.09,Remboursement Pruvost,Humide préférer ah poche dessiner précis terreur.,2025-07-22,2025-07-22,,lodging,Matériel informatique,EXP-2025-00109,2025-07-22,unpaid,2025-08-11
110,Quinze Achat,51.44,Facture Fernandes Berger SARL,,2025-07-22,2025-07-24,,research,Communication,EXP-2025-00110,2025-08-16,paid,2025-09-09
111,Conclure Dépense,11.76,Facture Bertin,Semblable droit aussi.,2025-07-22,2025-07-24,,software,Communication,EXP-2025-00111,2025-07-24,paid,2025-08-31
112,Veille Facture,53.45,Note Vallée-sur-Maury,Poésie frapper général petit.,2025-07-22,2025-07-24,,food,Frais professionnels,EXP-2025-00112,2025-07-24,unpaid,2025-07-23
113,Vent Frais,57.29,Note Martins-sur-Blin,,2025-07-22,2025-07-23,,lodging,Transport,EXP-2025-00113,2025-07-23,paid,2025-09-09
114,Voie Facture,391.74,Frais poste,,2025-07-22,2025-07-22,,office,Fournitures bureau,EXP-2025-00114,2025-07-22,paid,2025-09-06
115,Soulever Dépense,46.81,Facture Bonnin Berger S.A.S.,Français certain accent quelque avouer.,2025-07-22,2025-07-24,,subscription,Frais bancaires,EXP-2025-00115,2025-07-24,paid,2025-08-26
116,Un Achat,69.49,Remboursement Fleury,Propos secrétaire chasse pauvre puissant.,2025-07-22,2025-07-23,,marketing,Formation,EXP-2025-00116,2025-08-06,paid,2025-09-08
117,Lors Facture,53.1,Service faire,Dur accomplir centre vous pur de retour.,2025-07-22,2025-07-22,,other,Frais de représentation,EXP-2025-00117,2025-07-22,unpaid,2025-08-24
118,Toucher Facture,21.44,Note Sainte Jérôme-la-Forêt,Témoin impossible tête petit offrir.,2025-07-22,2025-07-22,,research,Transport,EXP-2025-00118,2025-07-22,paid,2025-08-01
119,Religion Dépense,136.22,Achat énergie,Déjà inspirer selon brusquement traîner acte.,2025-07-22,2025-07-22,,travel,Hébergement,EXP-2025-00119,2025-07-22,paid,2025-08-10
120,Cas Facture,99.64,Facture Boulanger S.A.R.L.,Divers pensée défendre passé.,2025-07-22,2025-07-23,,lodging,R&D,EXP-2025-00120,2025-07-23,unpaid,2025-07-23
121,Éprouver Facture,102.8,Note JoubertVille,Douleur y mort défendre user exprimer.,2025-07-22,2025-07-24,,research,Logiciels,EXP-2025-00121,2025-07-24,paid,2025-09-02
122,As Facture,26.38,Frais oser,Rêve eh point prison.,2025-07-22,2025-07-22,,other,Transport,EXP-2025-00122,2025-08-09,paid,2025-08-25
123,En Facture,167.71,Achat point,Cause consulter devant risquer soulever.,2025-07-22,2025-07-22,,lodging,Logiciels,EXP-2025-00123,2025-07-28,paid,2025-08-26
124,Chambre Achat,17.79,Achat travailler,,2025-07-22,2025-07-24,,other,Restauration,EXP-2025-00124,2025-07-24,paid,2025-09-04
125,Rire Frais,87.31,Service comme,Monter pas chair prince enfin.,2025-07-22,2025-07-23,,food,Abonnements,EXP-2025-00125,2025-07-23,paid,2025-08-20
126,Comme Dépense,314.93,Achat changement,Renverser rire bas sept arrivée.,2025-07-22,2025-07-22,,software,Assurances,EXP-2025-00126,2025-07-22,paid,2025-07-23
127,Seigneur Achat,24.72,Service prendre,Yeux résoudre rôle sien peuple.,2025-07-22,2025-07-24,,research,Abonnements,EXP-2025-00127,2025-07-24,paid,2025-07-25
128,Fumée Frais,34.71,Note Bousquet,Porter causer signifier intelligence oeuvre.,2025-07-22,2025-07-23,,office,Restauration,EXP-2025-00128,2025-08-10,paid,2025-09-05
129,Cause Frais,59.13,Remboursement Letellier,Doucement toi public roman possible yeux.,2025-07-22,2025-07-23,,travel,Matériel informatique,EXP-2025-00129,2025-08-13,unpaid,2025-08-24
130,Traîner Facture,36.5,Service marché,,2025-07-22,2025-07-24,,subscription,Frais professionnels,EXP-2025-00130,2025-07-24,paid,2025-09-01
131,Tard Achat,15.79,Note Saint Laetitia,,2025-07-22,2025-07-24,,research,Maintenance,EXP-2025-00131,2025-08-09,paid,2025-07-23
132,Courant Frais,57.68,Service vivre,,2025-07-22,2025-07-24,,lodging,Frais bancaires,EXP-2025-00132,2025-07-24,paid,2025-07-31
133,Autre Facture,23.34,Frais suivant,Souhaiter grâce tromper autour.,2025-07-22,2025-07-23,,travel,Services publics,EXP-2025-00133,2025-08-20,paid,2025-08-12
134,Pendant Dépense,79.75,Note Dupuy,,2025-07-22,2025-07-23,,marketing,Matériel informatique,EXP-2025-00134,2025-07-23,paid,2025-08-10
135,Confondre Facture,26.17,Service attendre,Plaindre afin de militaire soit loin véritable secrétaire.,2025-07-22,2025-07-22,,equipment,Assurances,EXP-2025-00135,2025-07-26,paid,2025-08-30
136,Revoir Frais,188.66,Note Saint Thérèse,,2025-07-22,2025-07-23,,marketing,Restauration,EXP-2025-00136,2025-08-01,unpaid,2025-08-06
137,Couche Facture,29.18,Remboursement Bonnet,Quoi certain etc mauvais lune papa.,2025-07-22,2025-07-24,,professional,Transport,EXP-2025-00137,2025-08-05,paid,2025-07-23
138,Morceau Facture,42.2,Facture Munoz Navarro S.A.S.,,2025-07-22,2025-07-23,,travel,Services publics,EXP-2025-00138,2025-07-23,paid,2025-08-10
139,Je Dépense,104.67,Achat compagnie,,2025-07-22,2025-07-23,,marketing,Transport,EXP-2025-00139,2025-07-28,paid,2025-09-14
140,Résistance Frais,20.4,Facture Dupuy Pelletier S.A.,,2025-07-22,2025-07-23,,food,Loyer,EXP-2025-00140,2025-07-23,unpaid,2025-08-13
141,Amener Facture,65.49,Note Delattre,,2025-07-22,2025-07-24,,maintenance,Frais professionnels,EXP-2025-00141,2025-08-06,paid,2025-08-02
142,Colline Facture,155.36,Achat croiser,Fortune est maintenir vision devoir arrière.,2025-07-22,2025-07-22,,other,Fournitures bureau,EXP-2025-00142,2025-08-05,unpaid,2025-09-10
143,Libre Frais,15.09,Remboursement Guillon,,2025-07-22,2025-07-23,,software,Restauration,EXP-2025-00143,2025-07-23,paid,2025-08-26
144,Sérieux Frais,63.29,Achat résistance,Nord doux faible.,2025-07-22,2025-07-24,,software,Restauration,EXP-2025-00144,2025-07-24,paid,2025-08-30
145,Cause Frais,67.22,Facture Sauvage et Fils,,2025-07-22,2025-07-24,,subscription,Frais de représentation,EXP-2025-00145,2025-07-24,paid,2025-09-08
146,Fête Facture,102.05,Remboursement Baudry,,2025-07-22,2025-07-23,,professional,Frais bancaires,EXP-2025-00146,2025-07-23,paid,2025-08-15
147,Paupière Dépense,20.3,Achat accent,,2025-07-22,2025-07-23,,software,Maintenance,EXP-2025-00147,2025-07-23,paid,2025-07-28
148,Hors Frais,18.98,Remboursement Rossi,Presser auquel habitant même savoir lit.,2025-07-22,2025-07-24,,software,Marketing,EXP-2025-00148,2025-07-24,unpaid,2025-08-17
149,Agir Dépense,82.89,Note Thierry-sur-Renard,,2025-07-22,2025-07-22,,other,Loyer,EXP-2025-00149,2025-07-22,paid,2025-09-01
150,Sans Facture,69.24,Frais forcer,D'Autres parfaitement sol à train écraser.,2025-07-22,2025-07-22,,professional,Hébergement,EXP-2025-00150,2025-07-22,paid,2025-07-28
151,Droit Dépense,66.71,Remboursement Collet,Façon vite épais français drôle beaux tout vif.,2025-07-22,2025-07-22,,food,Hébergement,EXP-2025-00151,2025-07-22,paid,2025-08-11
152,Écraser Frais,72.04,Frais jambe,Sombre dire bon fonction rien souvenir tirer.,2025-07-22,2025-07-23,,marketing,Transport,EXP-2025-00152,2025-08-22,paid,2025-09-15
153,Nécessaire Facture,31.69,Service militaire,Dernier exiger loi calmer campagne.,2025-07-22,2025-07-23,,food,Logiciels,EXP-2025-00153,2025-07-23,paid,2025-07-23
154,Non Frais,65.75,Facture Chauvet Gonzalez SARL,,2025-07-22,2025-07-24,,research,Hébergement,EXP-2025-00154,2025-07-24,paid,2025-09-18
155,Ennemi Frais,69.02,Frais haine,Étendre conseil mal y.,2025-07-22,2025-07-23,,software,Logiciels,EXP-2025-00155,2025-07-23,unpaid,2025-08-17
156,Fort Facture,30.83,Achat enfance,,2025-07-22,2025-07-23,,professional,Abonnements,EXP-2025-00156,2025-08-21,unpaid,2025-08-26
157,Naturel Dépense,242.89,Frais avec,,2025-07-22,2025-07-24,,travel,Matériel informatique,EXP-2025-00157,2025-07-24,paid,2025-08-08
158,Élément Achat,79.76,Frais forêt,,2025-07-22,2025-07-22,,other,Assurances,EXP-2025-00158,2025-07-22,unpaid,2025-08-21
159,Habiller Frais,21.05,Facture Nicolas,,2025-07-22,2025-07-23,,food,Loyer,EXP-2025-00159,2025-08-01,paid,2025-08-18
160,Remplacer Facture,92.32,Service animer,,2025-07-22,2025-07-23,,office,Frais professionnels,EXP-2025-00160,2025-07-23,paid,2025-08-04
161,Mal Facture,25.03,Service couper,,2025-07-22,2025-07-23,,travel,Déplacements,EXP-2025-00161,2025-07-23,paid,2025-07-23
162,Chambre Achat,102.48,Note Fernandez,,2025-07-22,2025-07-22,,research,Restauration,EXP-2025-00162,2025-07-22,paid,2025-08-13
163,Ni Facture,137.95,Facture Hoareau et Fils,Lettre léger coeur représenter.,2025-07-22,2025-07-23,,lodging,Logiciels,EXP-2025-00163,2025-07-23,unpaid,2025-09-07
164,Naître Achat,28.32,Note PasquierBourg,,2025-07-22,2025-07-22,,research,Logiciels,EXP-2025-00164,2025-07-22,paid,2025-07-26
165,Vide Achat,118.0,Service compter,Devant terme près rompre établir.,2025-07-22,2025-07-22,,food,Frais bancaires,EXP-2025-00165,2025-07-22,paid,2025-07-31
166,Dernier Achat,75.96,Facture Pineau S.A.R.L.,,2025-07-22,2025-07-24,,subscription,Frais bancaires,EXP-2025-00166,2025-08-08,unpaid,2025-09-06
