STATEMENT_ID,STATEMENT_DATE,OPERATION_LABEL,ADDITIONAL_LABEL,DEBIT,CREDIT,COMMENTS,RELATED_INVOICE_ID,RELATED_EXPENSE_ID,VALUE_DATE,SOURCE_FILENAME,MIME_TYPE,CREATED_AT
17,2025-07-21,CHEQUE Goncalves,FACTURE FACT-2025-003391,,4607.76,Virement reçu,3391.0,,2025-07-21,,,2025-07-21
18,2025-07-21,VIR SEPA Laroche,FACT N°FACT-2025-000594,,7237.0,Facture soldée,594.0,,2025-07-23,,,2025-07-21
19,2025-07-21,CHEQUE Giraud,REF FACTURE FACT-2025-000816,,383.92,Facture soldée,816.0,,2025-07-23,,,2025-07-21
20,2025-07-21,REGLEMENT Gaudin Hôpital,REGLEMENT FACT-2025-003738,,8769.25,Règlement client,3738.0,,2025-07-21,,,2025-07-21
21,2025-07-21,VIR SEPA Poulain Garnier S.A.,PAIEMENT FACTURE FACT-2025-001606,,4789.23,Facture soldée,1606.0,,2025-07-22,,,2025-07-21
22,2025-07-21,PAIEMENT Grenier-la-Forêt Hôp,REF FACT-2025-004515,,4527.33,,4515.0,,2025-07-23,,,2025-07-21
23,2025-07-21,VIR Grégoire,REGLEMENT FACT-2025-000414,,9229.8,,414.0,,2025-07-23,,,2025-07-21
24,2025-07-21,VIR SEPA Lemoine Université,REF FACTURE FACT-2025-002169,,6495.37,Facture soldée,2169.0,,2025-07-23,,,2025-07-21
25,2025-07-21,CB Sainte Édouard Hôpit,REF FACTURE FACT-2025-003506,,2917.98,Règlement client,3506.0,,2025-07-23,,,2025-07-21
26,2025-07-21,VIR SEPA Courtois,FACT N°FACT-2025-001525,,536.59,Règlement client,1525.0,,2025-07-21,,,2025-07-21
27,2025-07-21,CB Le Gall Lebon SA,FACTURE FACT-2025-001445,,5065.99,Paiement conforme,1445.0,,2025-07-23,,,2025-07-21
28,2025-07-21,CHEQUE Laurent Préfecture,PAIEMENT FACTURE FACT-2025-003522,,1315.36,Facture soldée,3522.0,,2025-07-22,,,2025-07-21
29,2025-07-21,CHEQUE Bouchet,FACT N°FACT-2025-002455,,3490.44,Paiement conforme,2455.0,,2025-07-23,,,2025-07-21
30,2025-07-21,VIREMENT Sainte Thibault Préf,N° FACT-2025-003365,,9117.21,Règlement client,3365.0,,2025-07-21,,,2025-07-21
31,2025-07-21,CB Coulon Seguin et Fil,REGLEMENT FACT-2025-002193,,8506.78,Paiement conforme,2193.0,,2025-07-22,,,2025-07-21
32,2025-07-21,PRLV Morin S.A.R.L.,REGLEMENT FACT-2025-004741,,5437.46,Paiement conforme,4741.0,,2025-07-23,,,2025-07-21
33,2025-07-21,PAIEMENT Ollivier Hôpital,REGLEMENT FACT-2025-002804,,8486.49,Facture soldée,2804.0,,2025-07-21,,,2025-07-21
34,2025-07-21,CHEQUE Lejeune,REF FACT-2025-002891,,10182.92,,2891.0,,2025-07-22,,,2025-07-21
35,2025-07-21,VIR SEPA Pons Hôpital,FACTURE FACT-2025-000846,,975.3,,846.0,,2025-07-22,,,2025-07-21
36,2025-07-21,CB Barbenec Lycée,REF FACT-2025-001361,,1225.74,Facture soldée,1361.0,,2025-07-23,,,2025-07-21
37,2025-07-21,VIR SEPA Gérard et Fils,N° FACT-2025-002941,,446.12,,2941.0,,2025-07-22,,,2025-07-21
38,2025-07-21,REGLEMENT Rousseau SA,PAIEMENT FACTURE FACT-2025-003258,,9280.89,,3258.0,,2025-07-22,,,2025-07-21
39,2025-07-21,PRLV Barbe Launay SARL,FACTURE FACT-2025-001282,,4725.87,Paiement conforme,1282.0,,2025-07-21,,,2025-07-21
40,2025-07-21,REGLEMENT Gonzalez Mercier S.A,FACTURE FACT-2025-000708,,4151.72,Paiement conforme,708.0,,2025-07-21,,,2025-07-21
41,2025-07-21,CB Jean Université,FACTURE FACT-2025-001051,,2273.43,Facture soldée,1051.0,,2025-07-21,,,2025-07-21
42,2025-07-21,CB Lamy,FACT FACT-2025-003452,,1871.62,,3452.0,,2025-07-21,,,2025-07-21
43,2025-07-21,VIREMENT Sainte Dominique Pré,REF FACTURE FACT-2025-000435,,9337.02,Virement reçu,435.0,,2025-07-22,,,2025-07-21
44,2025-07-21,PAIEMENT Lebon Weber S.A.S.,FACT FACT-2025-002402,,9165.35,Virement reçu,2402.0,,2025-07-22,,,2025-07-21
45,2025-07-21,CB Charpentier SA,FACTURE FACT-2025-003424,,1695.26,Virement reçu,3424.0,,2025-07-21,,,2025-07-21
46,2025-07-21,PRLV Bertrand SARL,REF FACT-2025-001384,,9988.45,Facture soldée,1384.0,,2025-07-22,,,2025-07-21
47,2025-07-21,VIREMENT Wagner,REGLEMENT FACT-2025-004588,,2530.66,Virement reçu,4588.0,,2025-07-23,,,2025-07-21
48,2025-07-21,VIREMENT Schneider Conseil Dé,REF FACT-2025-002904,,4914.82,Virement reçu,2904.0,,2025-07-22,,,2025-07-21
49,2025-07-21,PRLV Pottier,REF FACT-2025-003858,,114.3,Facture soldée,3858.0,,2025-07-23,,,2025-07-21
50,2025-07-21,VIREMENT Petit,PAIEMENT FACTURE FACT-2025-001615,,1317.05,,1615.0,,2025-07-22,,,2025-07-21
51,2025-07-21,CHEQUE Perrot S.A.S.,REF FACTURE FACT-2025-003739,,3313.8,Règlement client,3739.0,,2025-07-21,,,2025-07-21
52,2025-07-21,REGLEMENT Saint Huguesdan Hôpi,PAIEMENT FACTURE FACT-2025-002722,,4286.69,Facture soldée,2722.0,,2025-07-21,,,2025-07-21
53,2025-07-21,CHEQUE Lemoine,FACT FACT-2025-002542,,3639.08,Virement reçu,2542.0,,2025-07-21,,,2025-07-21
54,2025-07-21,VIR SEPA Brun,REF FACTURE FACT-2025-003939,,12302.83,Virement reçu,3939.0,,2025-07-21,,,2025-07-21
55,2025-07-21,VIR SEPA Briand Lycée,PAIEMENT FACTURE FACT-2025-001396,,9981.16,,1396.0,,2025-07-21,,,2025-07-21
56,2025-07-21,CHEQUE Delattre,FACT FACT-2025-000605,,10476.77,Paiement conforme,605.0,,2025-07-22,,,2025-07-21
57,2025-07-21,CHEQUE Briand Lycée,FACT N°FACT-2025-002014,,5650.79,Virement reçu,2014.0,,2025-07-21,,,2025-07-21
58,2025-07-21,PRLV Pires SA,FACT FACT-2025-000764,,5203.49,Facture soldée,764.0,,2025-07-23,,,2025-07-21
59,2025-07-21,PAIEMENT Chauveauboeuf Lycée,N° FACT-2025-004441,,6197.26,Virement reçu,4441.0,,2025-07-21,,,2025-07-21
60,2025-07-21,VIR SEPA Duval Parent S.A.S.,REGLEMENT FACT-2025-000065,,6093.68,Facture soldée,65.0,,2025-07-22,,,2025-07-21
61,2025-07-21,REGLEMENT Prévost,FACTURE FACT-2025-004265,,1833.32,Règlement client,4265.0,,2025-07-21,,,2025-07-21
62,2025-07-21,PAIEMENT Bernard Mairie,N° FACT-2025-001109,,888.42,Paiement conforme,1109.0,,2025-07-22,,,2025-07-21
63,2025-07-21,PAIEMENT Morin Lycée,REGLEMENT FACT-2025-000517,,8785.65,Virement reçu,517.0,,2025-07-21,,,2025-07-21
64,2025-07-21,CB Monnier Poirier SARL,REF FACTURE FACT-2025-001601,,8572.12,,1601.0,,2025-07-21,,,2025-07-21
65,2025-07-21,CB Gillet,REF FACT-2025-002508,,10672.59,Virement reçu,2508.0,,2025-07-23,,,2025-07-21
66,2025-07-21,CB Saint Charles-la-For,FACTURE FACT-2025-002008,,2178.57,Virement reçu,2008.0,,2025-07-21,,,2025-07-21
67,2025-07-21,CHEQUE Marchand Morel SARL,REF FACT-2025-001662,,6238.71,Paiement conforme,1662.0,,2025-07-21,,,2025-07-21
68,2025-07-21,VIR SEPA Sanchez S.A.,FACT N°FACT-2025-003712,,9843.7,Paiement conforme,3712.0,,2025-07-23,,,2025-07-21
69,2025-07-21,CB Launay,FACT N°FACT-2025-002784,,9129.18,Virement reçu,2784.0,,2025-07-23,,,2025-07-21
70,2025-07-21,REGLEMENT Raymond Fernandez SA,N° FACT-2025-004086,,7118.6,,4086.0,,2025-07-21,,,2025-07-21
71,2025-07-21,CB Lebreton Mairie,REF FACT-2025-002820,,9218.38,,2820.0,,2025-07-23,,,2025-07-21
72,2025-07-21,VIREMENT Grégoire Lycée,REF FACTURE FACT-2025-000125,,5521.01,Règlement client,125.0,,2025-07-22,,,2025-07-21
73,2025-07-21,PAIEMENT Blanchet Lycée,FACT FACT-2025-004353,,1472.35,,4353.0,,2025-07-21,,,2025-07-21
74,2025-07-21,VIREMENT Saint Alexandria Con,PAIEMENT FACTURE FACT-2025-002037,,6108.58,Virement reçu,2037.0,,2025-07-22,,,2025-07-21
75,2025-07-21,VIR Collin Mairie,FACT FACT-2025-000455,,7567.14,Virement reçu,455.0,,2025-07-23,,,2025-07-21
76,2025-07-21,PRLV Bourgeoisnec Mairie,FACT N°FACT-2025-002545,,7744.29,Règlement client,2545.0,,2025-07-23,,,2025-07-21
77,2025-07-21,CB Arnaud Roger S.A.S.,FACTURE FACT-2025-001633,,2528.42,,1633.0,,2025-07-23,,,2025-07-21
78,2025-07-21,VIREMENT Merle SARL,FACTURE FACT-2025-002647,,10219.49,Virement reçu,2647.0,,2025-07-21,,,2025-07-21
79,2025-07-21,VIR Delmas Conseil Dépar,REF FACT-2025-001306,,2881.11,Paiement conforme,1306.0,,2025-07-23,,,2025-07-21
80,2025-07-21,CHEQUE Delattre Préfecture,FACT N°FACT-2025-002769,,3444.61,Virement reçu,2769.0,,2025-07-21,,,2025-07-21
81,2025-07-21,VIREMENT Berthelot Conseil Dé,FACT N°FACT-2025-001273,,7394.87,Facture soldée,1273.0,,2025-07-21,,,2025-07-21
82,2025-07-21,PAIEMENT Dubois-la-Forêt Univ,REF FACTURE FACT-2025-004032,,6966.55,Virement reçu,4032.0,,2025-07-23,,,2025-07-21
83,2025-07-21,CB Benard S.A.,PAIEMENT FACTURE FACT-2025-002125,,5832.71,,2125.0,,2025-07-22,,,2025-07-21
84,2025-07-21,VIR SEPA Dumont S.A.,FACT FACT-2025-004294,,3546.75,Paiement conforme,4294.0,,2025-07-21,,,2025-07-21
85,2025-07-21,CHEQUE Delmas-sur-Gros Mair,FACTURE FACT-2025-002278,,8096.64,Règlement client,2278.0,,2025-07-22,,,2025-07-21
86,2025-07-21,VIREMENT Lefèvre,FACT FACT-2025-003401,,1521.0,Règlement client,3401.0,,2025-07-21,,,2025-07-21
87,2025-07-21,REGLEMENT Tanguy,REF FACTURE FACT-2025-004964,,6199.47,,4964.0,,2025-07-21,,,2025-07-21
88,2025-07-21,PAIEMENT Goncalves-sur-Humber,FACT FACT-2025-002638,,2823.67,Virement reçu,2638.0,,2025-07-22,,,2025-07-21
89,2025-07-21,PAIEMENT Legrand Gomez S.A.,FACTURE FACT-2025-004927,,3682.08,Règlement client,4927.0,,2025-07-23,,,2025-07-21
90,2025-07-21,VIREMENT Laroche,REF FACTURE FACT-2025-002765,,7232.36,,2765.0,,2025-07-23,,,2025-07-21
91,2025-07-21,CB Perret,FACT FACT-2025-004421,,1275.07,Virement reçu,4421.0,,2025-07-21,,,2025-07-21
92,2025-07-21,CB Marty Ribeiro SARL,REF FACTURE FACT-2025-001113,,1798.85,Facture soldée,1113.0,,2025-07-22,,,2025-07-21
93,2025-07-21,PRLV Reynaud,PAIEMENT FACTURE FACT-2025-004887,,9578.5,Paiement conforme,4887.0,,2025-07-22,,,2025-07-21
94,2025-07-21,CHEQUE Dos Santosboeuf Mair,REF FACTURE FACT-2025-001501,,2294.36,Règlement client,1501.0,,2025-07-23,,,2025-07-21
95,2025-07-21,REGLEMENT Gosselin Lefebvre S.,FACTURE FACT-2025-003349,,4430.61,,3349.0,,2025-07-23,,,2025-07-21
96,2025-07-21,VIR SEPA Sanchez S.A.,FACT FACT-2025-003327,,730.96,Règlement client,3327.0,,2025-07-23,,,2025-07-21
97,2025-07-21,VIR Ledoux Préfecture,REF FACT-2025-002853,,558.05,Virement reçu,2853.0,,2025-07-22,,,2025-07-21
98,2025-07-21,CHEQUE Morel,N° FACT-2025-001897,,2071.53,Virement reçu,1897.0,,2025-07-23,,,2025-07-21
99,2025-07-21,VIREMENT Nguyen Mairie,FACT N°FACT-2025-002053,,3044.31,Virement reçu,2053.0,,2025-07-22,,,2025-07-21
100,2025-07-21,PRLV Guillet-sur-Guillet ,PAIEMENT FACTURE FACT-2025-004797,,2367.05,Facture soldée,4797.0,,2025-07-22,,,2025-07-21
101,2025-07-21,PAIEMENT Dumont,REF FACTURE FACT-2025-001576,,3067.02,Paiement conforme,1576.0,,2025-07-21,,,2025-07-21
102,2025-07-21,CB Sainte PatrickVille ,REF FACTURE FACT-2025-002503,,2809.63,Règlement client,2503.0,,2025-07-21,,,2025-07-21
103,2025-07-21,VIREMENT Rousseau-sur-Mer Hôp,FACT N°FACT-2025-000829,,10199.61,Règlement client,829.0,,2025-07-22,,,2025-07-21
104,2025-07-21,CHEQUE Pascal Lycée,FACTURE FACT-2025-001905,,1609.19,Paiement conforme,1905.0,,2025-07-22,,,2025-07-21
105,2025-07-21,VIREMENT Lebonboeuf Universit,REGLEMENT FACT-2025-001975,,3585.93,Virement reçu,1975.0,,2025-07-23,,,2025-07-21
106,2025-07-21,PAIEMENT Chauveauboeuf Lycée,N° FACT-2025-001310,,6650.67,Règlement client,1310.0,,2025-07-22,,,2025-07-21
107,2025-07-21,CHEQUE BenardBourg Préfectu,PAIEMENT FACTURE FACT-2025-004470,,4551.78,Règlement client,4470.0,,2025-07-21,,,2025-07-21
108,2025-07-21,CHEQUE TeixeiraVille Consei,REF FACTURE FACT-2025-003979,,517.11,Paiement conforme,3979.0,,2025-07-22,,,2025-07-21
109,2025-07-21,VIR SEPA Charles Lycée,FACT FACT-2025-002277,,4939.64,Règlement client,2277.0,,2025-07-23,,,2025-07-21
110,2025-07-21,PRLV Riou Costa S.A.R.L.,FACTURE FACT-2025-001699,,4041.73,Facture soldée,1699.0,,2025-07-22,,,2025-07-21
111,2025-07-21,REGLEMENT Ferreira,REF FACT-2025-003745,,4000.42,,3745.0,,2025-07-22,,,2025-07-21
112,2025-07-21,VIREMENT Marie Lycée,REGLEMENT FACT-2025-003922,,1684.72,Facture soldée,3922.0,,2025-07-21,,,2025-07-21
113,2025-07-21,CB Bourgeois,REF FACT-2025-004396,,7327.33,,4396.0,,2025-07-21,,,2025-07-21
114,2025-07-21,VIREMENT Cohen Leroux S.A.,N° FACT-2025-004701,,10000.98,Facture soldée,4701.0,,2025-07-21,,,2025-07-21
115,2025-07-21,CB Léger Rémy SARL,PAIEMENT FACTURE FACT-2025-003755,,5883.35,Règlement client,3755.0,,2025-07-22,,,2025-07-21
116,2025-07-21,CHEQUE Rossi,PAIEMENT FACTURE FACT-2025-001983,,3307.85,Paiement conforme,1983.0,,2025-07-22,,,2025-07-21
117,2025-07-21,CHEQUE Pires,FACT FACT-2025-001688,,5634.06,,1688.0,,2025-07-21,,,2025-07-21
118,2025-07-21,PAIEMENT Hoarau Hôpital,REF FACT-2025-002100,,5861.54,Paiement conforme,2100.0,,2025-07-23,,,2025-07-21
119,2025-07-21,VIREMENT Lebreton,FACTURE FACT-2025-000027,,3028.3,Paiement conforme,27.0,,2025-07-21,,,2025-07-21
120,2025-07-21,VIR SEPA Joseph,FACTURE FACT-2025-004649,,5032.54,Paiement conforme,4649.0,,2025-07-23,,,2025-07-21
121,2025-07-21,REGLEMENT Cordier SARL,REF FACT-2025-001830,,1803.12,,1830.0,,2025-07-21,,,2025-07-21
122,2025-07-21,PAIEMENT Gaudin Hôpital,FACTURE FACT-2025-003181,,9708.48,Virement reçu,3181.0,,2025-07-21,,,2025-07-21
123,2025-07-21,CHEQUE Collet Mairie,REF FACT-2025-004129,,929.34,Facture soldée,4129.0,,2025-07-22,,,2025-07-21
124,2025-07-21,CB Petit,REF FACT-2025-000954,,3989.88,Virement reçu,954.0,,2025-07-22,,,2025-07-21
125,2025-07-21,PAIEMENT Bodindan Lycée,FACT N°FACT-2025-001018,,2915.29,Facture soldée,1018.0,,2025-07-23,,,2025-07-21
126,2025-07-21,CB Barbenec Lycée,FACT FACT-2025-001076,,3081.19,Paiement conforme,1076.0,,2025-07-21,,,2025-07-21
127,2025-07-21,VIR SEPA Morin Lycée,REGLEMENT FACT-2025-002786,,3598.15,Paiement conforme,2786.0,,2025-07-23,,,2025-07-21
128,2025-07-21,PAIEMENT Benoit-la-Forêt Univ,REGLEMENT FACT-2025-003145,,7981.57,Virement reçu,3145.0,,2025-07-23,,,2025-07-21
129,2025-07-21,VIREMENT Loiseau et Fils,REF FACT-2025-004029,,2420.59,,4029.0,,2025-07-21,,,2025-07-21
130,2025-07-21,CHEQUE Picard Conseil Dépar,REF FACT-2025-000741,,6292.08,Virement reçu,741.0,,2025-07-22,,,2025-07-21
131,2025-07-21,CHEQUE Saint Charles-la-For,REF FACTURE FACT-2025-001718,,4931.64,Règlement client,1718.0,,2025-07-22,,,2025-07-21
132,2025-07-21,PAIEMENT Guillou,REF FACT-2025-000574,,4687.2,,574.0,,2025-07-23,,,2025-07-21
133,2025-07-21,CHEQUE Roux Leclercq et Fil,FACTURE FACT-2025-002252,,3227.47,Paiement conforme,2252.0,,2025-07-21,,,2025-07-21
134,2025-07-21,CHEQUE Maillet,REF FACTURE FACT-2025-004178,,589.78,Virement reçu,4178.0,,2025-07-22,,,2025-07-21
135,2025-07-21,PAIEMENT Bernier Université,FACT FACT-2025-003166,,6688.03,Virement reçu,3166.0,,2025-07-23,,,2025-07-21
136,2025-07-21,REGLEMENT Pascal Lycée,FACT N°FACT-2025-000653,,347.58,Virement reçu,653.0,,2025-07-23,,,2025-07-21
137,2025-07-21,CHEQUE Guillot S.A.S.,FACT N°FACT-2025-004751,,2178.18,,4751.0,,2025-07-21,,,2025-07-21
138,2025-07-21,PRLV Saint Michelle Lycée,REGLEMENT FACT-2025-001209,,9113.2,Facture soldée,1209.0,,2025-07-21,,,2025-07-21
139,2025-07-21,VIR Pascal Lycée,REF FACT-2025-003844,,7632.0,Règlement client,3844.0,,2025-07-21,,,2025-07-21
140,2025-07-21,REGLEMENT Millet,FACTURE FACT-2025-003433,,5430.48,Paiement conforme,3433.0,,2025-07-21,,,2025-07-21
141,2025-07-21,REGLEMENT Leroux Chartier SARL,PAIEMENT FACTURE FACT-2025-004455,,9863.77,Règlement client,4455.0,,2025-07-22,,,2025-07-21
142,2025-07-21,VIREMENT Cohen Merle SA,FACT N°FACT-2025-000127,,7497.63,Virement reçu,127.0,,2025-07-21,,,2025-07-21
143,2025-07-21,REGLEMENT Thomas S.A.S.,FACT FACT-2025-002236,,5305.7,Virement reçu,2236.0,,2025-07-22,,,2025-07-21
144,2025-07-21,CHEQUE Dupré S.A.,REGLEMENT FACT-2025-002922,,8496.7,Règlement client,2922.0,,2025-07-22,,,2025-07-21
145,2025-07-21,VIREMENT Lévy Bailly S.A.,N° FACT-2025-001198,,684.19,Paiement conforme,1198.0,,2025-07-22,,,2025-07-21
146,2025-07-21,REGLEMENT Camus Gros S.A.S.,REF FACT-2025-000553,,9472.1,Virement reçu,553.0,,2025-07-22,,,2025-07-21
147,2025-07-21,PAIEMENT Grenier,N° FACT-2025-003921,,11431.84,Facture soldée,3921.0,,2025-07-22,,,2025-07-21
148,2025-07-21,VIR SEPA Robin-sur-Picard Con,FACT FACT-2025-004454,,4352.71,Virement reçu,4454.0,,2025-07-23,,,2025-07-21
149,2025-07-21,CB Lebreton,REF FACTURE FACT-2025-003448,,2867.65,Paiement conforme,3448.0,,2025-07-23,,,2025-07-21
150,2025-07-21,CHEQUE Chauveauboeuf Lycée,REF FACTURE FACT-2025-000980,,2510.62,,980.0,,2025-07-23,,,2025-07-21
151,2025-07-21,VIR Gautier,REGLEMENT FACT-2025-003223,,7951.29,Paiement conforme,3223.0,,2025-07-22,,,2025-07-21
152,2025-07-21,VIREMENT Rodriguez,N° FACT-2025-000749,,11852.43,Facture soldée,749.0,,2025-07-23,,,2025-07-21
153,2025-07-21,PAIEMENT Jacques,FACT N°FACT-2025-002829,,744.75,Virement reçu,2829.0,,2025-07-23,,,2025-07-21
154,2025-07-21,VIR Lucas Conseil Départ,FACT FACT-2025-001840,,2406.44,Paiement conforme,1840.0,,2025-07-23,,,2025-07-21
155,2025-07-21,CHEQUE Charles,FACT FACT-2025-000177,,6788.39,Virement reçu,177.0,,2025-07-22,,,2025-07-21
156,2025-07-21,CB Louis Lycée,REF FACT-2025-001268,,5649.2,Virement reçu,1268.0,,2025-07-21,,,2025-07-21
157,2025-07-21,VIREMENT Gonzalez Mercier S.A,PAIEMENT FACTURE FACT-2025-001359,,4538.49,Facture soldée,1359.0,,2025-07-23,,,2025-07-21
158,2025-07-21,VIR Royer S.A.S.,FACTURE FACT-2025-004462,,11357.43,Virement reçu,4462.0,,2025-07-22,,,2025-07-21
159,2025-07-21,PRLV Cohen Lycée,REF FACTURE FACT-2025-000457,,643.49,Paiement conforme,457.0,,2025-07-23,,,2025-07-21
160,2025-07-21,VIR SEPA Sainte Sophiedan Col,N° FACT-2025-001031,,4180.89,Règlement client,1031.0,,2025-07-22,,,2025-07-21
161,2025-07-21,PRLV Briand,N° FACT-2025-001767,,8466.7,Règlement client,1767.0,,2025-07-21,,,2025-07-21
162,2025-07-21,VIREMENT Coste,FACT FACT-2025-003346,,4334.28,Paiement conforme,3346.0,,2025-07-23,,,2025-07-21
163,2025-07-21,PAIEMENT Blin,FACTURE FACT-2025-000187,,2571.28,,187.0,,2025-07-21,,,2025-07-21
164,2025-07-21,PAIEMENT Guyot et Fils,PAIEMENT FACTURE FACT-2025-002696,,236.35,Virement reçu,2696.0,,2025-07-22,,,2025-07-21
165,2025-07-21,PAIEMENT Maurice,REF FACTURE FACT-2025-004089,,7246.0,Virement reçu,4089.0,,2025-07-23,,,2025-07-21
166,2025-07-21,VIR SEPA Benard S.A.,PAIEMENT FACTURE FACT-2025-000234,,10142.41,Facture soldée,234.0,,2025-07-22,,,2025-07-21
167,2025-07-21,CB Meunier,N° FACT-2025-004720,,2629.01,Paiement conforme,4720.0,,2025-07-21,,,2025-07-21
168,2025-07-21,VIR SEPA Cousin SA,FACT N°FACT-2025-002104,,7212.47,Facture soldée,2104.0,,2025-07-23,,,2025-07-21
169,2025-07-21,PRLV Joubert Collège,REF FACTURE FACT-2025-002509,,4892.2,Règlement client,2509.0,,2025-07-23,,,2025-07-21
170,2025-07-21,VIREMENT Alexandre SARL,N° FACT-2025-000461,,3963.14,Facture soldée,461.0,,2025-07-21,,,2025-07-21
171,2025-07-21,VIR SEPA Meyer SA,REF FACT-2025-001913,,7030.23,,1913.0,,2025-07-21,,,2025-07-21
172,2025-07-21,REGLEMENT Chauveau-sur-Lombard,REF FACTURE FACT-2025-000465,,4588.08,Facture soldée,465.0,,2025-07-22,,,2025-07-21
173,2025-07-21,VIREMENT Sainte Julie-les-Bai,N° FACT-2025-001715,,8093.69,,1715.0,,2025-07-21,,,2025-07-21
174,2025-07-21,VIR SEPA Baron Rémy et Fils,PAIEMENT FACTURE FACT-2025-000851,,1334.81,Facture soldée,851.0,,2025-07-23,,,2025-07-21
175,2025-07-21,PRLV Barbenec Lycée,REF FACTURE FACT-2025-004718,,8817.54,Paiement conforme,4718.0,,2025-07-21,,,2025-07-21
176,2025-07-21,PRLV Thomas S.A.S.,REGLEMENT FACT-2025-001960,,2181.28,Règlement client,1960.0,,2025-07-21,,,2025-07-21
177,2025-07-21,PRLV Alexandre Boulanger ,PAIEMENT FACTURE FACT-2025-004346,,3761.93,Facture soldée,4346.0,,2025-07-23,,,2025-07-21
178,2025-07-21,VIR Morin,PAIEMENT FACTURE FACT-2025-004599,,8534.69,Virement reçu,4599.0,,2025-07-22,,,2025-07-21
179,2025-07-21,PRLV Le Goffboeuf Mairie,REF FACTURE FACT-2025-003843,,4938.14,,3843.0,,2025-07-21,,,2025-07-21
180,2025-07-21,CHEQUE Tanguy Mairie,FACT N°FACT-2025-003882,,4674.31,Facture soldée,3882.0,,2025-07-21,,,2025-07-21
181,2025-07-21,VIREMENT Sainte Sabinedan Uni,PAIEMENT FACTURE FACT-2025-004198,,4133.25,Facture soldée,4198.0,,2025-07-23,,,2025-07-21
182,2025-07-21,PRLV Clerc Bouvier et Fil,REF FACTURE FACT-2025-002966,,4146.13,,2966.0,,2025-07-22,,,2025-07-21
183,2025-07-21,VIR Regnier Université,REF FACT-2025-004006,,7742.92,Facture soldée,4006.0,,2025-07-21,,,2025-07-21
184,2025-07-21,CHEQUE Cohen Merle SA,PAIEMENT FACTURE FACT-2025-002068,,9737.76,Règlement client,2068.0,,2025-07-22,,,2025-07-21
185,2025-07-21,REGLEMENT Mathieu,REGLEMENT FACT-2025-000976,,6358.34,Paiement conforme,976.0,,2025-07-21,,,2025-07-21
186,2025-07-21,CHEQUE Brunet-sur-Wagner Pr,REF FACT-2025-000607,,8069.86,Facture soldée,607.0,,2025-07-21,,,2025-07-21
187,2025-07-21,VIR Lévy Bailly S.A.,PAIEMENT FACTURE FACT-2025-002645,,1988.78,Virement reçu,2645.0,,2025-07-21,,,2025-07-21
188,2025-07-21,VIR Caron,REF FACT-2025-004650,,7196.75,,4650.0,,2025-07-23,,,2025-07-21
