INVOICE_ID,CLIENT_ID,INVOICE_DATE,PAYMENT_DATE,STATUS,INVOICE_NUMBER,INVOICE_YEAR,PO,PU,QUANTITY,ELECTRONIC_DATE,PHYSICAL_DATE,EXPECTED_PAYMENT_DATE,LABEL,CLIENT_TYPE,CREATED_AT,TOTAL_HT,AMOUNT_TTC,MONTANT_TVA,RAS_5P,RAS_TVA,AMOUNT_TO_PAY
49,82,2025-07-22,,UNPAID,FACT-2025-000049,2025,PO-2821,58.86,94,2025-07-22,2025-07-25,2025-09-02,Prestation La possibilité d'atteindre vos buts de manière efficace,PRIVATE,2025-07-22,5533.16,6639.79,1106.63,0.0,0.0,6639.79
50,795,2025-07-22,2025-07-22,PAID,FACT-2025-000050,2025,,30.01,82,2025-07-23,2025-07-25,2025-09-13,Prestation Le confort de changer en toute tranquilité,PUBLIC,2025-07-22,2460.55,2952.66,492.11,123.03,369.08,2460.55
51,469,2025-07-22,2025-07-22,PAID,FACT-2025-000051,2025,PO-3352,3.98,66,2025-07-22,2025-07-23,2025-10-08,Prestation Le plaisir de changer sans soucis,PRIVATE,2025-07-22,262.71,315.25,52.54,0.0,0.0,315.25
52,299,2025-07-22,2025-07-22,PAID,FACT-2025-000052,2025,PO-6908,49.12,86,2025-07-23,2025-07-24,2025-09-20,Prestation Le confort de concrétiser vos projets à l'état pur,PRIVATE,2025-07-22,4224.02,5068.82,844.8,0.0,0.0,5068.82
54,400,2025-07-22,,SENT,FACT-2025-000054,2025,,870.38,3,2025-07-23,2025-07-24,2025-09-24,Prestation Le pouvoir de changer avant-tout,PRIVATE,2025-07-22,2611.14,2872.25,261.11,0.0,0.0,2872.25
55,354,2025-07-22,2025-07-22,PAID,FACT-2025-000055,2025,PO-3868,565.32,6,2025-07-22,2025-07-23,2025-10-19,Prestation Le plaisir d'innover à la pointe,PRIVATE,2025-07-22,3391.93,3731.12,339.19,0.0,0.0,3731.12
56,798,2025-07-22,2025-07-22,PAID,FACT-2025-000056,2025,,903.76,9,2025-07-24,2025-07-28,2025-10-06,Prestation Le droit de changer de manière sûre,PUBLIC,2025-07-22,8133.83,9760.6,1626.77,406.69,1220.07,8133.83
57,469,2025-07-22,2025-07-22,PAID,FACT-2025-000057,2025,,345.79,6,2025-07-22,2025-07-25,2025-08-31,Prestation La possibilité d'évoluer autrement,PRIVATE,2025-07-22,2074.75,2282.22,207.48,0.0,0.0,2282.22
58,528,2025-07-22,2025-07-22,PAID,FACT-2025-000058,2025,PO-1783,302.3,25,2025-07-23,2025-07-28,2025-10-05,Prestation L'avantage d'innover à sa source,PRIVATE,2025-07-22,7557.58,8313.34,755.76,0.0,0.0,8313.34
59,672,2025-07-22,,UNPAID,FACT-2025-000059,2025,PO-7334,85.11,52,2025-07-23,2025-07-26,2025-08-21,Prestation Le pouvoir d'avancer plus rapidement,PRIVATE,2025-07-22,4425.82,5310.98,885.16,0.0,0.0,5310.98
60,348,2025-07-22,2025-07-22,PAID,FACT-2025-000060,2025,,228.38,35,2025-07-22,2025-07-26,2025-10-08,Prestation Le plaisir d'innover à l'état pur,PRIVATE,2025-07-22,7993.18,8432.8,439.62,0.0,0.0,8432.8
61,81,2025-07-22,2025-07-22,PAID,FACT-2025-000061,2025,PO-6021,298.18,11,2025-07-23,2025-07-28,2025-08-29,Prestation Le pouvoir d'avancer plus rapidement,PRIVATE,2025-07-22,3279.99,3607.99,328.0,0.0,0.0,3607.99
62,457,2025-07-22,2025-07-22,PAID,FACT-2025-000062,2025,,596.72,6,2025-07-24,2025-07-28,2025-08-27,Prestation L'art d'innover autrement,PRIVATE,2025-07-22,3580.32,4296.38,716.06,0.0,0.0,4296.38
63,362,2025-07-22,2025-07-22,PAID,FACT-2025-000063,2025,PO-7655,991.95,8,2025-07-24,2025-07-28,2025-09-10,Prestation Le pouvoir de louer à sa source,PRIVATE,2025-07-22,7935.63,8372.09,436.46,0.0,0.0,8372.09
64,373,2025-07-22,2025-07-22,PAID,FACT-2025-000064,2025,PO-2101,107.28,57,2025-07-24,2025-07-26,2025-08-09,Prestation L'assurance d'innover plus rapidement,PUBLIC,2025-07-22,6114.97,7337.96,1222.99,305.75,917.25,6114.97
65,242,2025-07-22,2025-07-22,PAID,FACT-2025-000065,2025,PO-7077,73.28,78,2025-07-24,2025-07-27,2025-09-21,Prestation Le plaisir de changer autrement,PRIVATE,2025-07-22,5715.72,6030.08,314.36,0.0,0.0,6030.08
66,381,2025-07-22,2025-07-22,PAID,FACT-2025-000066,2025,PO-5089,91.04,41,2025-07-23,2025-07-24,2025-10-18,Prestation La liberté de louer plus facilement,PUBLIC,2025-07-22,3732.8,4479.36,746.56,186.64,559.92,3732.8
67,117,2025-07-22,2025-07-22,PAID,FACT-2025-000067,2025,,571.5,16,2025-07-22,2025-07-24,2025-10-08,Prestation L'avantage de changer naturellement,PRIVATE,2025-07-22,9144.07,10058.48,914.41,0.0,0.0,10058.48
68,721,2025-07-22,2025-07-22,PAID,FACT-2025-000068,2025,PO-2213,384.09,26,2025-07-23,2025-07-25,2025-09-11,Prestation Le plaisir d'innover autrement,PUBLIC,2025-07-22,9986.43,11983.72,1997.29,499.32,1497.96,9986.43
69,463,2025-07-22,,UNPAID,FACT-2025-000069,2025,PO-2063,236.07,41,2025-07-22,2025-07-26,2025-08-17,Prestation Le plaisir d'innover à l'état pur,PRIVATE,2025-07-22,9678.86,11614.63,1935.77,0.0,0.0,11614.63
70,564,2025-07-22,,UNPAID,FACT-2025-000070,2025,PO-6922,79.41,90,2025-07-24,2025-07-27,2025-09-13,Prestation Le plaisir d'avancer plus facilement,PRIVATE,2025-07-22,7146.91,8576.29,1429.38,0.0,0.0,8576.29
71,521,2025-07-22,,UNPAID,FACT-2025-000071,2025,PO-7044,38.18,64,2025-07-22,2025-07-23,2025-08-31,Prestation La possibilité de concrétiser vos projets de manière sûre,PUBLIC,2025-07-22,2443.69,2932.43,488.74,122.18,366.55,2443.69
72,479,2025-07-22,2025-07-22,PAID,FACT-2025-000072,2025,PO-7730,43.93,92,2025-07-24,2025-07-26,2025-08-17,Prestation Le pouvoir d'avancer à la pointe,PRIVATE,2025-07-22,4041.78,4850.14,808.36,0.0,0.0,4850.14
73,788,2025-07-22,2025-07-22,PAID,FACT-2025-000073,2025,PO-9476,323.86,10,2025-07-23,2025-07-28,2025-08-15,Prestation L'avantage de louer de manière efficace,PRIVATE,2025-07-22,3238.57,3562.43,323.86,0.0,0.0,3562.43
74,353,2025-07-22,2025-07-22,PAID,FACT-2025-000074,2025,PO-1907,172.61,56,2025-07-22,2025-07-27,2025-10-20,Prestation Le plaisir d'atteindre vos buts plus facilement,PUBLIC,2025-07-22,9666.02,11599.22,1933.2,483.3,1449.9,9666.02
75,128,2025-07-22,2025-07-22,PAID,FACT-2025-000075,2025,PO-9501,36.2,91,2025-07-24,2025-07-26,2025-09-13,Prestation L'assurance d'atteindre vos buts à la pointe,PUBLIC,2025-07-22,3294.34,3953.21,658.87,164.72,494.15,3294.34
76,291,2025-07-22,2025-07-22,PAID,FACT-2025-000076,2025,PO-9740,326.67,17,2025-07-22,2025-07-25,2025-08-31,Prestation Le pouvoir d'innover à l'état pur,PRIVATE,2025-07-22,5553.33,6664.0,1110.67,0.0,0.0,6664.0
77,96,2025-07-22,,OVERDUE,FACT-2025-000077,2025,PO-6531,19.14,85,2025-07-24,2025-07-26,2025-10-20,Prestation L'avantage d'atteindre vos buts naturellement,PUBLIC,2025-07-22,1626.52,1951.82,325.3,81.33,243.98,1626.52
78,578,2025-07-22,2025-07-22,PAID,FACT-2025-000078,2025,PO-4453,87.17,74,2025-07-22,2025-07-23,2025-08-16,Prestation Le pouvoir de rouler avant-tout,PUBLIC,2025-07-22,6450.39,7740.47,1290.08,322.52,967.56,6450.39
79,786,2025-07-22,2025-07-22,PAID,FACT-2025-000079,2025,,166.02,38,2025-07-24,2025-07-28,2025-08-09,Prestation L'assurance de rouler sans soucis,PRIVATE,2025-07-22,6308.92,7570.7,1261.78,0.0,0.0,7570.7
80,495,2025-07-22,2025-07-22,PAID,FACT-2025-000080,2025,PO-8609,329.39,21,2025-07-22,2025-07-26,2025-09-13,Prestation L'assurance d'évoluer avant-tout,PRIVATE,2025-07-22,6917.27,7609.0,691.73,0.0,0.0,7609.0
81,209,2025-07-22,2025-07-22,PAID,FACT-2025-000081,2025,,76.72,94,2025-07-23,2025-07-28,2025-08-24,Prestation Le plaisir d'avancer à sa source,PRIVATE,2025-07-22,7211.79,7932.97,721.18,0.0,0.0,7932.97
82,134,2025-07-22,2025-07-22,PAID,FACT-2025-000082,2025,PO-5061,155.82,16,2025-07-23,2025-07-28,2025-10-16,Prestation L'avantage d'atteindre vos buts naturellement,PUBLIC,2025-07-22,2493.2,2991.84,498.64,124.66,373.98,2493.2
83,145,2025-07-22,,OVERDUE,FACT-2025-000083,2025,,160.28,54,2025-07-22,2025-07-23,2025-09-12,Prestation Le confort d'avancer avant-tout,PRIVATE,2025-07-22,8655.22,9131.26,476.04,0.0,0.0,9131.26
84,164,2025-07-22,2025-07-22,PAID,FACT-2025-000084,2025,PO-6055,25.42,66,2025-07-23,2025-07-28,2025-09-15,Prestation La liberté d'atteindre vos buts à sa source,PRIVATE,2025-07-22,1677.49,1845.24,167.75,0.0,0.0,1845.24
85,510,2025-07-22,2025-07-22,PAID,FACT-2025-000085,2025,PO-1828,345.36,28,2025-07-22,2025-07-23,2025-09-25,Prestation Le pouvoir de rouler à la pointe,PRIVATE,2025-07-22,9670.2,11604.24,1934.04,0.0,0.0,11604.24
86,289,2025-07-22,2025-07-22,PAID,FACT-2025-000086,2025,PO-5333,12.93,14,2025-07-23,2025-07-28,2025-10-05,Prestation La possibilité de rouler plus facilement,PRIVATE,2025-07-22,180.96,199.06,18.1,0.0,0.0,199.06
87,745,2025-07-22,2025-07-22,PAID,FACT-2025-000087,2025,PO-5728,8.42,72,2025-07-23,2025-07-27,2025-09-21,Prestation La possibilité de changer de manière sûre,PUBLIC,2025-07-22,606.46,727.75,121.29,30.32,90.97,606.46
88,76,2025-07-22,,UNPAID,FACT-2025-000088,2025,PO-2946,35.87,80,2025-07-23,2025-07-28,2025-10-02,Prestation La liberté d'avancer de manière efficace,PUBLIC,2025-07-22,2869.23,3443.08,573.85,143.46,430.38,2869.23
89,132,2025-07-22,,UNPAID,FACT-2025-000089,2025,,73.55,47,2025-07-22,2025-07-26,2025-09-22,Prestation Le droit d'innover avant-tout,PUBLIC,2025-07-22,3456.94,4148.33,691.39,172.85,518.54,3456.94
90,204,2025-07-22,2025-07-22,PAID,FACT-2025-000090,2025,,30.47,18,2025-07-24,2025-07-29,2025-09-26,Prestation L'art d'avancer de manière efficace,PUBLIC,2025-07-22,548.5,658.2,109.7,27.43,82.28,548.5
91,486,2025-07-22,2025-07-22,PAID,FACT-2025-000091,2025,PO-7438,123.89,42,2025-07-24,2025-07-28,2025-08-25,Prestation Le plaisir d'évoluer à la pointe,PRIVATE,2025-07-22,5203.51,6244.21,1040.7,0.0,0.0,6244.21
92,632,2025-07-22,2025-07-22,PAID,FACT-2025-000092,2025,PO-5911,120.29,69,2025-07-24,2025-07-27,2025-10-20,Prestation L'art de concrétiser vos projets sans soucis,PUBLIC,2025-07-22,8300.06,9960.07,1660.01,415.0,1245.01,8300.06
93,487,2025-07-22,2025-07-22,PAID,FACT-2025-000093,2025,,130.68,75,2025-07-22,2025-07-25,2025-09-17,Prestation L'avantage de concrétiser vos projets plus rapidement,PRIVATE,2025-07-22,9800.99,10781.09,980.1,0.0,0.0,10781.09
94,743,2025-07-22,2025-07-22,PAID,FACT-2025-000094,2025,PO-1841,65.9,100,2025-07-24,2025-07-25,2025-10-05,Prestation Le pouvoir de concrétiser vos projets de manière efficace,PRIVATE,2025-07-22,6590.35,7908.42,1318.07,0.0,0.0,7908.42
95,598,2025-07-22,2025-07-22,PAID,FACT-2025-000095,2025,PO-4968,127.25,49,2025-07-23,2025-07-25,2025-10-12,Prestation L'assurance d'atteindre vos buts de manière efficace,PUBLIC,2025-07-22,6235.38,7482.46,1247.08,311.77,935.31,6235.38
96,33,2025-07-22,2025-07-22,PAID,FACT-2025-000096,2025,PO-7723,160.28,20,2025-07-24,2025-07-25,2025-08-30,Prestation La possibilité de changer de manière sûre,PRIVATE,2025-07-22,3205.56,3526.12,320.56,0.0,0.0,3526.12
97,514,2025-07-22,2025-07-22,PAID,FACT-2025-000097,2025,PO-8837,72.71,72,2025-07-24,2025-07-28,2025-08-13,Prestation La possibilité d'innover plus rapidement,PUBLIC,2025-07-22,5234.96,6281.95,1046.99,261.75,785.24,5234.96
98,539,2025-07-22,2025-07-22,PAID,FACT-2025-000098,2025,PO-5331,76.83,70,2025-07-23,2025-07-26,2025-08-28,Prestation L'assurance de louer à l'état pur,PUBLIC,2025-07-22,5377.96,6453.55,1075.59,268.9,806.69,5377.96
99,625,2025-07-22,2025-07-22,PAID,FACT-2025-000099,2025,,78.34,39,2025-07-23,2025-07-25,2025-09-06,Prestation Le plaisir de concrétiser vos projets de manière sûre,PUBLIC,2025-07-22,3055.14,3666.17,611.03,152.76,458.27,3055.14
100,722,2025-07-22,2025-07-22,PAID,FACT-2025-000100,2025,PO-9899,60.74,93,2025-07-22,2025-07-26,2025-09-15,Prestation Le confort d'innover sans soucis,PRIVATE,2025-07-22,5648.83,6213.71,564.88,0.0,0.0,6213.71
101,389,2025-07-22,2025-07-22,PAID,FACT-2025-000101,2025,PO-8247,32.04,92,2025-07-23,2025-07-26,2025-08-24,Prestation L'assurance de louer plus rapidement,PUBLIC,2025-07-22,2947.54,3537.05,589.51,147.38,442.13,2947.54
102,672,2025-07-22,2025-07-22,PAID,FACT-2025-000102,2025,PO-2789,75.44,72,2025-07-23,2025-07-27,2025-09-02,Prestation La possibilité de rouler sans soucis,PRIVATE,2025-07-22,5431.92,6518.3,1086.38,0.0,0.0,6518.3
103,631,2025-07-22,2025-07-22,PAID,FACT-2025-000103,2025,PO-1860,98.99,68,2025-07-24,2025-07-29,2025-09-05,Prestation La possibilité d'avancer avant-tout,PRIVATE,2025-07-22,6731.36,7101.58,370.22,0.0,0.0,7101.58
105,564,2025-07-22,2025-07-22,PAID,FACT-2025-000105,2025,PO-1969,56.07,37,2025-07-22,2025-07-26,2025-10-05,Prestation L'avantage d'innover de manière sûre,PRIVATE,2025-07-22,2074.61,2282.07,207.46,0.0,0.0,2282.07
107,180,2025-07-22,,SENT,FACT-2025-000107,2025,PO-5742,62.97,64,2025-07-23,2025-07-25,2025-08-10,Prestation Le pouvoir d'innover naturellement,PUBLIC,2025-07-22,4030.25,4836.3,806.05,201.51,604.54,4030.25
108,39,2025-07-22,2025-07-22,PAID,FACT-2025-000108,2025,PO-9901,216.09,43,2025-07-22,2025-07-25,2025-10-17,Prestation L'art de concrétiser vos projets plus facilement,PUBLIC,2025-07-22,9291.7,11150.04,1858.34,464.59,1393.76,9291.7
109,537,2025-07-22,2025-07-22,PAID,FACT-2025-000109,2025,PO-8518,133.92,15,2025-07-23,2025-07-25,2025-10-09,Prestation Le confort d'atteindre vos buts à l'état pur,PUBLIC,2025-07-22,2008.83,2410.6,401.77,100.44,301.32,2008.83
