invoice_id,invoice_number,client_name,client_id,issue_date,due_date,payment_date,amount_ht,vat_rate,vat_amount,amount_ttc,currency,status,type,category,payment_method,notes,created_at,updated_at
36,INV-2025-1035,Gillet Bernard S.A.R.L.,499,2025-06-22,2025-07-29,2025-06-24,8852.93,20.0,1770.59,10623.52,USD,paid,credit_note,Software,credit_card,Tôt réponse drôle poussière prouver.,2025-03-23,2025-02-24
40,INV-2025-1039,Boyer Grégoire SA,92,2025-07-06,2025-08-24,2025-07-18,373.25,10.0,37.33,410.58,GBP,paid,invoice,Consulting,direct_debit,,2025-05-15,2024-10-03
42,INV-2025-1041,Delorme Valentin SA,187,2025-06-13,2025-08-01,2025-07-10,9408.6,5.5,517.47,9926.07,CHF,paid,invoice,Training,direct_debit,,2024-11-16,2024-08-24
47,INV-2025-1046,Muller,234,2024-02-13,2024-03-01,2024-02-19,4803.85,0.0,0.0,4803.85,CHF,paid,credit_note,Hosting,check,,2025-06-05,2024-10-26
50,INV-2025-1049,Texier,460,2023-11-20,2024-01-06,2023-12-16,9077.86,20.0,1815.57,10893.43,USD,paid,recurring,Support,paypal,Printemps courant particulier diriger juger.,2025-06-26,2025-07-10
51,INV-2025-1050,Couturier S.A.R.L.,321,2025-05-10,2025-07-04,2025-05-14,7798.98,20.0,1559.8,9358.78,USD,paid,proforma,Support,bank_transfer,Approcher espace certainement violent classe.,2024-07-01,2025-02-22
55,INV-2025-1054,Leroux,250,2024-12-24,2025-02-03,2025-01-17,7372.88,5.5,405.51,7778.39,USD,paid,proforma,Hosting,check,,2025-03-26,2025-04-21
57,INV-2025-1056,Schneider,330,2025-07-05,2025-08-14,2025-07-16,6663.7,0.0,0.0,6663.7,CHF,paid,credit_note,Support,credit_card,,2025-04-21,2025-05-28
58,INV-2025-1057,Laurent Delmas S.A.,390,2025-05-29,2025-07-07,2025-06-20,4601.52,10.0,460.15,5061.67,CHF,paid,proforma,Hosting,paypal,Environ soi vers douter passer fortune.,2025-05-09,2025-02-16
59,INV-2025-1058,Bertin S.A.,115,2024-04-05,2024-05-20,2024-04-07,5440.25,10.0,544.02,5984.27,EUR,paid,invoice,IT_Services,credit_card,,2024-10-16,2024-11-03
60,INV-2025-1059,Barre,343,2023-08-21,2023-09-06,2023-08-26,2461.59,20.0,492.32,2953.91,EUR,paid,credit_note,Support,paypal,Haïr vivant campagne surveiller content approcher.,2024-06-26,2024-07-23
64,INV-2025-1063,Grenier,435,2024-06-04,2024-07-12,2024-07-05,6510.68,0.0,0.0,6510.68,CHF,paid,recurring,Consulting,check,Mien contraire pierre feuille quitter.,2023-12-06,2025-03-19
66,INV-2025-1065,Delmas Clément SARL,166,2024-08-23,2024-10-11,2024-10-07,4702.25,10.0,470.23,5172.48,USD,paid,invoice,Maintenance,check,,2024-08-27,2025-04-07
68,INV-2025-1067,Philippe Caron SA,285,2024-01-21,2024-02-21,2024-02-20,8815.17,10.0,881.52,9696.69,EUR,paid,credit_note,Consulting,credit_card,Derrière inviter service.,2023-09-18,2025-01-16
70,INV-2025-1069,Hamel SA,243,2024-01-28,2024-03-08,2024-02-11,3131.44,10.0,313.14,3444.58,GBP,paid,recurring,Development,paypal,,2025-03-19,2025-01-04
71,INV-2025-1070,Girard,370,2024-01-08,2024-02-21,2024-01-25,2588.9,0.0,0.0,2588.9,USD,paid,proforma,Consulting,direct_debit,Désirer sérieux imaginer rêve placer voir nous.,2025-03-01,2025-07-04
72,INV-2025-1071,Lévy,142,2024-06-30,2024-08-28,2024-08-28,2242.21,20.0,448.44,2690.65,GBP,paid,invoice,Hardware,paypal,,2024-07-04,2025-07-06
76,INV-2025-1075,Dos Santos S.A.,44,2024-04-08,2024-06-02,2024-05-09,1602.1,10.0,160.21,1762.31,USD,paid,invoice,Development,check,,2024-01-19,2024-12-18
77,INV-2025-1076,Andre Legros S.A.R.L.,466,2025-01-12,2025-03-07,2025-01-26,5273.47,20.0,1054.69,6328.16,CHF,paid,proforma,Design,check,,2024-04-05,2025-02-18
78,INV-2025-1077,Leclerc S.A.R.L.,486,2024-07-18,2024-09-10,2024-08-27,9605.08,0.0,0.0,9605.08,USD,paid,credit_note,Maintenance,bank_transfer,,2024-05-21,2025-07-09
79,INV-2025-1078,Martel,231,2025-03-11,2025-04-06,2025-03-12,1649.67,20.0,329.93,1979.6,CHF,paid,proforma,IT_Services,credit_card,,2023-07-28,2024-12-06
83,INV-2025-1082,Dufour,377,2023-08-13,2023-09-28,2023-08-21,6020.56,20.0,1204.11,7224.67,GBP,paid,proforma,IT_Services,bank_transfer,,2025-05-27,2025-01-18
85,INV-2025-1084,Samson,326,2024-07-10,2024-09-04,2024-08-10,2853.75,20.0,570.75,3424.5,CHF,paid,invoice,Support,paypal,,2025-06-06,2024-12-17
87,INV-2025-1086,Hubert,443,2025-02-23,2025-03-15,2025-02-28,3300.41,20.0,660.08,3960.49,EUR,paid,recurring,Hosting,bank_transfer,,2024-12-09,2024-08-18
89,INV-2025-1088,Dupuis Marchand S.A.R.L.,15,2025-05-04,2025-06-06,2025-05-05,7012.68,0.0,0.0,7012.68,USD,paid,credit_note,Maintenance,direct_debit,,2024-12-24,2024-09-05
90,INV-2025-1089,Bonnin,237,2024-10-03,2024-11-13,2024-10-24,9923.35,0.0,0.0,9923.35,EUR,paid,credit_note,Support,paypal,,2024-02-08,2025-05-17
91,INV-2025-1090,Merle S.A.,125,2024-05-04,2024-06-05,2024-05-20,4876.75,20.0,975.35,5852.1,CHF,paid,credit_note,Hosting,credit_card,Brûler ajouter énergie plutôt valeur.,2024-05-27,2025-04-26
92,INV-2025-1091,Henry Grenier SARL,142,2023-12-24,2024-02-09,2023-12-31,1451.43,0.0,0.0,1451.43,CHF,paid,proforma,Development,paypal,Révolution retirer moment appel marchand peuple aussitôt paysan.,2023-08-02,2025-06-18
94,INV-2025-1093,Gay Schmitt et Fils,446,2025-04-26,2025-06-15,2025-06-09,3834.38,10.0,383.44,4217.82,USD,paid,credit_note,Design,check,,2024-09-01,2025-04-01
98,INV-2025-1097,Leblanc,447,2024-01-03,2024-02-07,2024-02-06,8885.64,20.0,1777.13,10662.77,EUR,paid,invoice,Hardware,paypal,Souhaiter préférer double accuser troubler.,2023-09-28,2024-10-24
101,INV-2025-1100,Lebon Jacquot S.A.,119,2023-10-03,2023-11-11,2023-10-31,2484.21,5.5,136.63,2620.84,CHF,paid,proforma,Support,paypal,,2024-03-17,2025-04-07
103,INV-2025-1102,Benard,102,2024-04-15,2024-05-27,2024-05-26,4622.67,10.0,462.27,5084.94,CHF,paid,recurring,Consulting,credit_card,,2025-01-19,2025-01-15
104,INV-2025-1103,Grondin,12,2024-02-18,2024-03-26,2024-03-18,9927.65,10.0,992.76,10920.41,CHF,paid,proforma,IT_Services,direct_debit,Produire enfoncer quelque type.,2025-01-10,2024-10-03
106,INV-2025-1105,Roussel,322,2025-03-04,2025-04-27,2025-04-23,7580.22,5.5,416.91,7997.13,EUR,paid,invoice,Maintenance,check,,2025-04-30,2024-10-06
107,INV-2025-1106,Colin,168,2024-03-09,2024-04-16,2024-03-31,992.32,10.0,99.23,1091.55,CHF,paid,credit_note,Hardware,credit_card,Adresser marche dormir vieux midi.,2025-01-15,2024-09-10
110,INV-2025-1109,François S.A.R.L.,300,2025-07-22,2025-08-13,2025-07-22,6761.0,10.0,676.1,7437.1,CHF,paid,proforma,Consulting,credit_card,,2024-08-08,2024-08-20
112,INV-2025-1111,Lemaire Pascal S.A.R.L.,253,2024-03-14,2024-04-05,2024-03-22,9467.99,10.0,946.8,10414.79,EUR,paid,invoice,Hardware,direct_debit,,2024-11-05,2025-03-11
114,INV-2025-1113,Schneider,228,2024-06-30,2024-08-01,2024-07-28,3768.25,20.0,753.65,4521.9,USD,paid,proforma,Consulting,paypal,,2024-10-07,2025-03-21
117,INV-2025-1116,Munoz,169,2023-08-17,2023-10-06,2023-09-08,2237.92,5.5,123.09,2361.01,USD,paid,invoice,Maintenance,credit_card,Premier ignorer porte tombe représenter.,2024-11-20,2025-03-09
119,INV-2025-1118,Guérin Lopez S.A.,270,2023-11-15,2023-12-11,2023-12-10,1354.91,20.0,270.98,1625.89,EUR,paid,invoice,Support,check,Nourrir saison titre haut intention.,2024-03-16,2025-04-20
120,INV-2025-1119,Navarro,485,2024-05-30,2024-07-16,2024-06-25,4574.85,5.5,251.62,4826.47,EUR,paid,proforma,Support,bank_transfer,,2023-09-24,2025-03-12
122,INV-2025-1121,Rolland et Fils,196,2024-02-02,2024-02-26,2024-02-04,2822.66,10.0,282.27,3104.93,GBP,paid,recurring,Development,direct_debit,,2025-05-03,2025-06-22
123,INV-2025-1122,Salmon et Fils,221,2024-10-11,2024-12-09,2024-12-07,6581.66,5.5,361.99,6943.65,CHF,paid,credit_note,Hosting,paypal,Muet recueillir complètement lutte hésiter.,2024-02-25,2024-10-01
126,INV-2025-1125,Lemonnier,445,2023-11-24,2024-01-20,2023-12-26,3600.62,20.0,720.12,4320.74,EUR,paid,proforma,Design,paypal,,2024-08-11,2024-11-12
127,INV-2025-1126,De Sousa SA,115,2024-12-18,2025-02-07,2025-01-25,1631.83,20.0,326.37,1958.2,EUR,paid,proforma,Development,paypal,,2024-03-24,2024-10-29
128,INV-2025-1127,Buisson,312,2024-03-30,2024-05-01,2024-04-10,8091.49,0.0,0.0,8091.49,GBP,paid,invoice,Software,paypal,Personne meilleur garçon.,2023-12-16,2025-02-09
132,INV-2025-1131,Courtois,311,2024-01-24,2024-02-13,2024-02-08,6653.19,20.0,1330.64,7983.83,CHF,paid,recurring,Maintenance,credit_card,Métier bête voler.,2025-07-02,2024-09-05
133,INV-2025-1132,Didier Auger SARL,270,2024-07-15,2024-08-06,2024-07-26,1197.81,20.0,239.56,1437.37,GBP,paid,invoice,Hardware,check,Près gauche joie interroger imaginer chasse contenter.,2024-10-31,2025-02-05
136,INV-2025-1135,Courtois,442,2024-08-02,2024-08-19,2024-08-18,4651.57,0.0,0.0,4651.57,GBP,paid,recurring,Design,check,Fermer toute solitude visage dent fil sien.,2024-06-07,2024-08-09
140,INV-2025-1139,Parent,91,2024-12-08,2025-01-08,2024-12-15,6063.75,0.0,0.0,6063.75,CHF,paid,recurring,Design,direct_debit,,2025-05-21,2025-02-15
141,INV-2025-1140,Allard,443,2024-05-13,2024-07-03,2024-06-12,9866.67,10.0,986.67,10853.34,GBP,paid,credit_note,Support,bank_transfer,,2023-08-20,2025-03-20
142,INV-2025-1141,Dumas,181,2023-09-14,2023-11-08,2023-10-06,2819.27,0.0,0.0,2819.27,EUR,paid,proforma,Support,check,,2025-02-23,2024-08-27
146,INV-2025-1145,Moreno,199,2023-11-13,2024-01-06,2023-12-06,3791.23,10.0,379.12,4170.35,CHF,paid,proforma,Design,bank_transfer,Commencement avenir somme page.,2024-01-27,2025-02-01
147,INV-2025-1146,Grondin Pinto et Fils,146,2025-07-01,2025-08-26,2025-07-15,3363.94,20.0,672.79,4036.73,GBP,paid,credit_note,Training,bank_transfer,,2024-02-06,2025-01-17
154,INV-2025-1153,Seguin Benard S.A.,237,2025-04-29,2025-05-26,2025-05-26,9476.59,20.0,1895.32,11371.91,GBP,paid,recurring,Development,direct_debit,,2024-11-29,2024-10-05
157,INV-2025-1156,Letellier,419,2025-06-28,2025-08-14,2025-07-12,4430.98,5.5,243.7,4674.68,CHF,paid,proforma,IT_Services,check,,2024-06-10,2024-09-29
158,INV-2025-1157,Laporte,192,2023-12-25,2024-02-10,2024-01-06,3923.04,0.0,0.0,3923.04,USD,paid,invoice,Training,bank_transfer,Tenir sauvage deviner saison jeunesse rideau qui.,2024-04-12,2025-05-31
159,INV-2025-1158,Blanchard S.A.,147,2023-10-20,2023-12-15,2023-12-04,1545.89,0.0,0.0,1545.89,CHF,paid,credit_note,Support,check,,2025-05-22,2025-04-11
161,INV-2025-1160,De Sousa SARL,33,2023-08-02,2023-08-20,2023-08-14,6425.62,20.0,1285.12,7710.74,EUR,paid,recurring,Design,direct_debit,,2024-12-27,2025-05-10
162,INV-2025-1161,Diaz,220,2024-12-26,2025-02-11,2025-01-20,7213.59,10.0,721.36,7934.95,EUR,paid,proforma,Hardware,direct_debit,,2025-07-23,2024-12-14
165,INV-2025-1164,Ferreira,426,2025-06-28,2025-08-04,2025-07-12,8153.74,5.5,448.46,8602.2,CHF,paid,recurring,Software,credit_card,,2023-11-09,2024-08-09
166,INV-2025-1165,Ferreira,454,2023-08-20,2023-10-03,2023-09-18,2095.75,5.5,115.27,2211.02,EUR,paid,proforma,Maintenance,direct_debit,,2023-10-07,2024-10-22
167,INV-2025-1166,Chevallier De Sousa SARL,147,2025-06-11,2025-07-30,2025-07-07,462.55,5.5,25.44,487.99,GBP,paid,invoice,Training,paypal,,2024-12-25,2025-05-07
171,INV-2025-1170,Baron,373,2024-04-26,2024-05-21,2024-05-01,3580.32,0.0,0.0,3580.32,GBP,paid,recurring,Maintenance,bank_transfer,,2023-12-18,2024-09-08
172,INV-2025-1171,Dupré S.A.,488,2025-05-11,2025-07-05,2025-06-24,5179.55,5.5,284.88,5464.43,EUR,paid,credit_note,Design,check,,2024-12-03,2025-03-28
173,INV-2025-1172,Le Roux S.A.,197,2024-10-28,2024-11-16,2024-10-30,6487.11,10.0,648.71,7135.82,EUR,paid,credit_note,Support,paypal,,2023-10-29,2025-05-24
174,INV-2025-1173,Salmon S.A.S.,161,2024-10-03,2024-10-22,2024-10-22,5341.65,20.0,1068.33,6409.98,GBP,paid,credit_note,Consulting,bank_transfer,Ni rôle dehors remercier réserver.,2024-10-28,2024-07-24
175,INV-2025-1174,Gimenez Deschamps S.A.,135,2024-02-23,2024-04-09,2024-03-08,9144.07,0.0,0.0,9144.07,GBP,paid,recurring,Hardware,direct_debit,,2023-10-17,2025-04-05
176,INV-2025-1175,Garcia Pelletier S.A.,232,2025-05-25,2025-07-10,2025-05-27,1443.71,0.0,0.0,1443.71,USD,paid,recurring,Consulting,paypal,,2024-10-23,2024-11-25
177,INV-2025-1176,Roux,436,2023-08-04,2023-10-03,2023-08-20,5467.5,10.0,546.75,6014.25,USD,paid,credit_note,Training,direct_debit,,2023-10-30,2025-05-07
184,INV-2025-1183,Perrin,393,2024-07-09,2024-09-03,2024-08-27,2720.09,5.5,149.6,2869.69,CHF,paid,invoice,Support,direct_debit,,2025-03-30,2025-04-21
186,INV-2025-1185,Legros,161,2025-04-25,2025-06-09,2025-06-08,3467.91,5.5,190.74,3658.65,GBP,paid,proforma,Hosting,credit_card,Énergie énergie devant unique.,2025-01-07,2025-07-16
187,INV-2025-1186,Clément SA,63,2024-07-25,2024-09-10,2024-07-31,3259.25,20.0,651.85,3911.1,GBP,paid,recurring,Hardware,credit_card,,2024-06-23,2024-08-29
189,INV-2025-1188,Hervé S.A.S.,256,2025-07-03,2025-07-30,2025-07-20,5032.83,20.0,1006.57,6039.4,GBP,paid,recurring,IT_Services,bank_transfer,Étroit musique croire personne de.,2023-10-16,2024-12-06
191,INV-2025-1190,Raynaud et Fils,434,2024-12-03,2025-01-28,2025-01-26,2928.91,0.0,0.0,2928.91,EUR,paid,recurring,Software,paypal,Amener donner reconnaître toi être.,2023-12-11,2025-06-26
193,INV-2025-1192,Letellier S.A.S.,66,2024-11-25,2025-01-14,2024-11-27,9892.0,0.0,0.0,9892.0,EUR,paid,recurring,Training,paypal,,2024-01-07,2024-12-16
199,INV-2025-1198,Letellier,211,2023-10-24,2023-12-06,2023-10-24,1599.17,5.5,87.95,1687.12,CHF,paid,invoice,Software,direct_debit,,2024-06-22,2024-09-29
205,INV-2025-1204,Delaunay SARL,71,2024-10-22,2024-12-10,2024-11-29,5663.98,10.0,566.4,6230.38,EUR,paid,credit_note,Hardware,bank_transfer,,2025-02-22,2024-12-02
206,INV-2025-1205,Garnier Gros et Fils,212,2024-01-11,2024-02-28,2024-02-12,2405.08,0.0,0.0,2405.08,GBP,paid,recurring,Consulting,credit_card,,2023-10-20,2025-02-14
212,INV-2025-1211,Bonneau S.A.S.,313,2024-03-01,2024-04-03,2024-03-08,7597.1,5.5,417.84,8014.94,CHF,paid,recurring,Development,paypal,,2024-08-20,2024-12-19
213,INV-2025-1212,Lebreton S.A.S.,166,2024-07-16,2024-09-11,2024-09-10,9818.68,20.0,1963.74,11782.42,USD,paid,invoice,Maintenance,check,,2024-12-11,2024-10-04
215,INV-2025-1214,Delannoy,354,2024-07-06,2024-08-19,2024-07-16,4113.62,10.0,411.36,4524.98,EUR,paid,proforma,Training,direct_debit,,2023-09-27,2025-02-04
216,INV-2025-1215,Hoarau et Fils,213,2024-12-05,2024-12-28,2024-12-21,4604.29,10.0,460.43,5064.72,CHF,paid,credit_note,Hardware,direct_debit,Voix mais ombre facile terrible fixe.,2025-03-16,2024-12-01
217,INV-2025-1216,François,40,2024-12-31,2025-01-20,2025-01-05,5328.91,10.0,532.89,5861.8,EUR,paid,invoice,Development,direct_debit,,2024-04-05,2024-08-28
220,INV-2025-1219,Bègue,217,2025-07-04,2025-07-19,2025-07-12,5825.28,0.0,0.0,5825.28,GBP,paid,invoice,Development,bank_transfer,Cercle président barbe mine paupière envoyer.,2023-10-31,2025-04-09
222,INV-2025-1221,Ruiz,193,2024-04-29,2024-06-07,2024-04-30,9179.44,20.0,1835.89,11015.33,EUR,paid,credit_note,Training,bank_transfer,,2023-12-10,2024-10-14
224,INV-2025-1223,Roussel,127,2023-11-20,2024-01-08,2023-11-27,3854.84,5.5,212.02,4066.86,CHF,paid,proforma,Software,paypal,,2024-08-21,2025-05-18
226,INV-2025-1225,Brunet,380,2024-11-14,2025-01-06,2024-11-26,8734.9,5.5,480.42,9215.32,EUR,paid,recurring,Support,credit_card,,2023-11-26,2024-10-01
228,INV-2025-1227,Leclercq,32,2024-01-24,2024-03-21,2024-02-23,4194.25,10.0,419.43,4613.68,USD,paid,recurring,Development,check,,2024-05-04,2025-04-12
233,INV-2025-1232,Rodrigues,107,2024-03-26,2024-05-17,2024-04-04,5632.62,20.0,1126.52,6759.14,GBP,paid,proforma,IT_Services,credit_card,Apercevoir terreur interroger sauver.,2025-03-04,2025-04-23
235,INV-2025-1234,Masson,158,2025-05-01,2025-06-03,2025-05-15,5383.14,10.0,538.31,5921.45,GBP,paid,proforma,Development,check,,2025-03-17,2024-11-12
236,INV-2025-1235,Rousseau S.A.,190,2024-01-23,2024-03-08,2024-02-21,3270.31,5.5,179.87,3450.18,GBP,paid,recurring,IT_Services,direct_debit,Passage papa attirer seconde lever mari.,2024-11-25,2025-02-08
237,INV-2025-1236,Klein Gilbert SA,152,2024-10-11,2024-11-04,2024-11-03,5577.78,20.0,1115.56,6693.34,USD,paid,credit_note,Training,credit_card,,2024-11-12,2024-12-07
239,INV-2025-1238,Lelièvre,95,2024-09-25,2024-11-01,2024-09-26,7231.1,20.0,1446.22,8677.32,EUR,paid,invoice,Consulting,bank_transfer,Partir visible détruire.,2023-08-05,2024-12-08
240,INV-2025-1239,Guillot,363,2025-03-26,2025-05-06,2025-04-01,6343.95,0.0,0.0,6343.95,USD,paid,invoice,Hardware,direct_debit,,2025-02-12,2025-04-04
241,INV-2025-1240,Lucas,338,2024-11-21,2024-12-09,2024-11-26,6700.87,20.0,1340.17,8041.04,CHF,paid,invoice,IT_Services,direct_debit,,2023-08-27,2024-12-07
243,INV-2025-1242,Andre Auger S.A.R.L.,137,2024-11-24,2024-12-24,2024-12-11,5311.91,10.0,531.19,5843.1,CHF,paid,invoice,Training,check,,2023-08-21,2024-11-14
245,INV-2025-1244,Devaux,43,2024-03-19,2024-05-08,2024-05-08,6403.81,5.5,352.21,6756.02,CHF,paid,recurring,Training,direct_debit,Détruire rapide continuer exemple rentrer soir erreur.,2023-10-28,2025-05-29
250,INV-2025-1249,Marty,497,2024-06-17,2024-07-06,2024-07-03,7713.16,20.0,1542.63,9255.79,GBP,paid,invoice,Maintenance,check,,2024-07-05,2024-08-08
251,INV-2025-1250,Paris,349,2025-02-06,2025-03-15,2025-03-12,3816.73,5.5,209.92,4026.65,CHF,paid,invoice,Design,paypal,Avance pas face rêve.,2025-01-01,2024-09-23
252,INV-2025-1251,Fontaine,365,2023-08-16,2023-10-15,2023-08-29,2752.92,20.0,550.58,3303.5,USD,paid,recurring,Training,paypal,,2023-10-30,2024-08-18
255,INV-2025-1254,Paul,372,2025-02-13,2025-03-24,2025-03-03,4196.72,0.0,0.0,4196.72,USD,paid,credit_note,Hosting,credit_card,,2024-05-19,2025-07-13
256,INV-2025-1255,Becker,223,2024-10-01,2024-11-04,2024-10-12,1544.75,5.5,84.96,1629.71,GBP,paid,recurring,Maintenance,check,Préparer croix or pourquoi vue.,2023-12-26,2024-09-08
257,INV-2025-1256,Giraud,305,2023-11-05,2023-12-13,2023-11-12,2541.24,20.0,508.25,3049.49,USD,paid,recurring,Consulting,credit_card,,2025-06-21,2025-04-26
258,INV-2025-1257,Martineau,226,2024-07-02,2024-08-11,2024-07-10,6239.9,10.0,623.99,6863.89,GBP,paid,recurring,Design,credit_card,,2024-04-18,2025-04-24
260,INV-2025-1259,Gomez Teixeira SA,167,2023-10-25,2023-12-19,2023-11-13,5801.2,5.5,319.07,6120.27,CHF,paid,proforma,Hosting,paypal,,2024-04-29,2025-02-23
261,INV-2025-1260,Courtois,350,2024-10-09,2024-11-29,2024-11-13,9972.92,5.5,548.51,10521.43,EUR,paid,recurring,Hardware,check,Or bas en yeux.,2025-02-01,2025-01-25
262,INV-2025-1261,Bruneau,345,2024-09-03,2024-11-01,2024-10-12,8493.1,20.0,1698.62,10191.72,CHF,paid,credit_note,Maintenance,credit_card,,2023-09-19,2024-09-09
263,INV-2025-1262,Turpin,230,2024-03-25,2024-04-18,2024-04-01,7911.86,0.0,0.0,7911.86,CHF,paid,recurring,Development,direct_debit,Étendre soudain renoncer passé confier vers guerre.,2025-06-30,2025-06-25
265,INV-2025-1264,Perrot Paul SARL,496,2023-11-25,2024-01-18,2023-12-26,9837.72,20.0,1967.54,11805.26,GBP,paid,recurring,Consulting,bank_transfer,,2025-05-11,2024-08-22
266,INV-2025-1265,Marchand,229,2024-02-02,2024-03-02,2024-02-21,5236.1,5.5,287.99,5524.09,GBP,paid,recurring,Support,direct_debit,,2024-11-20,2024-11-17
268,INV-2025-1267,Delmas Ferrand et Fils,179,2024-10-16,2024-11-21,2024-10-30,2147.99,20.0,429.6,2577.59,CHF,paid,invoice,Support,check,,2025-06-23,2025-03-15
274,INV-2025-1273,Legros,471,2023-09-07,2023-10-21,2023-09-22,8156.01,10.0,815.6,8971.61,EUR,paid,credit_note,Training,bank_transfer,,2024-08-03,2025-01-19
276,INV-2025-1275,Samson Lemaître S.A.S.,285,2024-04-16,2024-06-04,2024-05-24,6488.07,5.5,356.84,6844.91,USD,paid,recurring,Maintenance,credit_card,,2024-10-02,2024-09-02
277,INV-2025-1276,Rivière,249,2024-03-26,2024-05-08,2024-04-18,8668.67,0.0,0.0,8668.67,USD,paid,credit_note,Hosting,direct_debit,,2024-02-16,2025-01-13
278,INV-2025-1277,Girard SARL,251,2024-01-31,2024-03-17,2024-02-13,4968.09,20.0,993.62,5961.71,USD,paid,invoice,Design,bank_transfer,Soi genou vent tache roman tracer.,2025-02-03,2024-11-21
279,INV-2025-1278,Buisson,87,2023-12-17,2024-01-15,2024-01-01,2821.04,10.0,282.1,3103.14,CHF,paid,recurring,Development,direct_debit,,2024-07-20,2025-02-01
282,INV-2025-1281,Lenoir,108,2023-08-31,2023-09-20,2023-09-18,9940.18,5.5,546.71,10486.89,GBP,paid,recurring,Software,direct_debit,,2024-03-04,2024-08-20
284,INV-2025-1283,Philippe Marion S.A.S.,70,2025-07-21,2025-08-23,2025-07-22,2746.7,0.0,0.0,2746.7,CHF,paid,invoice,Maintenance,credit_card,Lèvre après chaleur escalier inutile immense.,2024-11-05,2025-07-05
285,INV-2025-1284,Raymond,390,2024-08-26,2024-09-18,2024-09-08,7142.81,5.5,392.85,7535.66,CHF,paid,recurring,Software,direct_debit,,2024-03-27,2024-09-24
289,INV-2025-1288,Guillon S.A.R.L.,458,2025-03-22,2025-04-14,2025-04-13,4904.85,10.0,490.49,5395.34,EUR,paid,invoice,Consulting,check,,2023-12-03,2025-02-11
291,INV-2025-1290,Besnard SARL,27,2023-10-16,2023-11-23,2023-11-03,3781.25,5.5,207.97,3989.22,CHF,paid,proforma,Hardware,check,,2024-06-13,2024-09-20
296,INV-2025-1295,Olivier,302,2025-03-13,2025-04-10,2025-04-07,1094.6,0.0,0.0,1094.6,CHF,paid,proforma,Hosting,paypal,Doute égal trembler visite rejoindre.,2025-01-21,2024-10-11
