statement_id,statement_date,operation_label,additional_label,debit,credit,comments,related_invoice_id,related_expense_id,value_date,source_filename
42,2025-01-24,VIREMENT EXTERNE,N/D,185.42,,,,42,2025-01-25,export_bancaire_20250124.csv
43,2024-09-04,CHÈQUE N° #400043,ERREUR REF - ItR###,19457.83,,,,43,2024-09-06,export_bancaire_20240904.csv
44,2025-10-26,VIREMENT  EXP202500044,TAUX 0.9799 - Ribeirodan,20375.84,,,,44,2025-10-24,export_bancaire_20251026.csv
45,2025-05-10,CARTE BANCAIRE,REF MANQUANTE,1498.12,,,,45,2025-05-10,export_bancaire_20250510.csv
46,2025-05-09,VIR REF EXP202500046,TAUX 1.3448 - Saint Jean-la-Forêt,5990.08,,,,46,2025-05-10,export_bancaire_20250509.csv
47,2025-05-03,REMBOURSEMENT - PRÉLÈVEMENT AUTO Juridique_Conformité,TAUX 1.1652 - Blanchet-sur-Mer,,937.48,Certain an fort chaîne unique étudier vol.,,47,2025-05-01,export_bancaire_20250503.csv
48,2025-02-05,VIREMENT EXTERNE,N/D,848.68,,,,48,2025-02-06,export_bancaire_20250205.csv
49,2025-03-17,CARTE ETRANGERE CAD,TAUX 1.1395 - Gomez,1742.39,,,,49,2025-03-18,export_bancaire_20250317.csv
50,2025-01-06,OPERATION DIVERSE,AUCUNE REFERENCE,9061.48,,,,50,2025-01-04,export_bancaire_20250106.csv
51,2025-10-11,TRANSFERT  Déplacements,TAUX 1.3054 - Hoarau-sur-Garnier,6704.92,,,,51,2025-10-11,export_bancaire_20251011.csv
52,2024-09-27,DD REF EXP202663419,ERREUR REF - jNe###,563.32,,,,52,2024-09-29,export_bancaire_20240927.csv
53,2024-11-21,VIREMENT  EXP202400053,ERREUR REF - XEC###,470.4,,,,53,2024-11-21,export_bancaire_20241121.csv
54,2024-10-16,VIR REF EXP202400054,ERREUR REF - xOq###,980.86,,,,54,2024-10-18,export_bancaire_20241016.csv
55,2024-12-31,CB  Service bancaire,TAUX 1.2585 - Joseph-les-Bains,1264.12,,Près eaux front malade vide police.,,55,2025-01-02,export_bancaire_20241231.csv
56,2024-12-08,CB  Microsoft 365,TAUX 1.0772 - GodardVille,209.24,,Crise pensée assister naître.,,56,2024-12-10,export_bancaire_20241208.csv
57,2024-12-28,CHÈQUE  EXP202400057,ERREUR REF - hLh###,2408.97,,Mince quelque imposer chemin déclarer coeur mêler.,,57,2024-12-26,export_bancaire_20241228.csv
58,2025-08-06,PRELEVEMENT SEPA,N/D,7420.52,,,,58,2025-08-07,export_bancaire_20250806.csv
59,2025-05-23,CHÈQUE N° #500059,ERREUR REF - ecu###,12208.51,,,,59,2025-05-23,export_bancaire_20250523.csv
60,2024-11-08,REMBOURSEMENT - VIREMENT  EXP202400060,ERREUR REF - RXr###,,634.01,,,60,2024-11-07,export_bancaire_20241108.csv
61,2025-07-21,TRANSFERT  Juridique_Conformité,REF: EXP202400061,37496.36,,,,61,2025-07-20,export_bancaire_20250721.csv
62,2024-06-29,TRANSFERT  Licences_Logicielles,REF: EXP202400062,9004.9,,,,62,2024-06-27,export_bancaire_20240629.csv
63,2025-01-13,RÉCURRENCE Facture électricité,REF: EXP202500063,32.91,,,,63,2025-01-11,export_bancaire_20250113.csv
64,2024-08-21,CARTE ETRANGERE CHF,TAUX 1.2491 - Auger,12866.81,,,,64,2024-08-22,export_bancaire_20240821.csv
65,2025-05-05,DD Frais de transaction,ERREUR REF - zXC###,441.17,,,,65,2025-05-05,export_bancaire_20250505.csv
66,2024-08-24,CARTE ETRANGERE GBP,TAUX 0.9161 - Saint Corinne,2242.06,,Hésiter siècle usage demeurer mort.,,66,2024-08-23,export_bancaire_20240824.csv
67,2025-09-01,REMBOURSEMENT - CHÈQUE  EXP202400067,REF: EXP202400067,,7230.31,,,67,2025-09-03,export_bancaire_20250901.csv
68,2025-05-20,TRANSFERT  Maintenance,REF: EXP202500068,457.83,,,,68,2025-05-19,export_bancaire_20250520.csv
69,2025-02-26,CARTE ETRANGERE EUR,TAUX 1.4311 - Laporteboeuf,984.06,,,,69,2025-02-26,export_bancaire_20250226.csv
70,2025-03-16,DECAISSEMENT,SZW-###,3187.6,,,,70,2025-03-16,export_bancaire_20250316.csv
71,2025-05-08,DECAISSEMENT,AUCUNE REFERENCE,1562.98,,,,71,2025-05-07,export_bancaire_20250508.csv
72,2025-10-03,VIR REF EXP202500072,REF: EXP202500072,904.46,,Par conversation violence jeunesse poitrine arrêter.,,72,2025-10-04,export_bancaire_20251003.csv
73,2025-03-13,RÉCURRENCE Adobe Creative Cloud,REF: EXP202500073,69.15,,,,73,2025-03-12,export_bancaire_20250313.csv
74,2025-03-13,CHÈQUE  EXP202500074,REF: EXP202500074,681.0,,,,74,2025-03-15,export_bancaire_20250313.csv
75,2024-05-27,CAISSE  Équipement,TAUX 1.2978 - Sainte Isaac-la-Forêt,3665.84,,,,75,2024-05-26,export_bancaire_20240527.csv
76,2024-05-30,CB  Cloudflare,ERREUR REF - lUc###,1537.91,,Poser air vieil nation midi rompre.,,76,2024-05-30,export_bancaire_20240530.csv
77,2024-05-04,CARTE ETRANGERE CAD,TAUX 1.2601 - Bazin,3858.41,,Forêt habiter vin manier au pas être.,,77,2024-05-03,export_bancaire_20240504.csv
78,2024-11-16,CHÈQUE N° #400078,TAUX 1.3221 - Joly,3833.85,,Tromper parvenir ruine possible mauvais employer.,,78,2024-11-17,export_bancaire_20241116.csv
79,2025-02-20,VIR REF EXP202500079,REF: EXP202500079,4082.01,,,,79,2025-02-21,export_bancaire_20250220.csv
80,2025-12-07,DECAISSEMENT,xdK-###,446.27,,,,80,2025-12-05,export_bancaire_20251207.csv
81,2025-07-31,TRANSFERT  Équipement,REF: EXP202500081,3477.17,,Nuit cri croire prochain.,,81,2025-07-29,export_bancaire_20250731.csv
82,2024-09-02,CB  Outil Performance,TAUX 0.8855 - Poulain,1011.1,,,,82,2024-09-02,export_bancaire_20240902.csv
83,2025-07-09,DECAISSEMENT,N/D,121.12,,Humide différent rejoindre celui.,,83,2025-07-08,export_bancaire_20250709.csv
84,2025-06-19,VIR REF EXP202500084,ERREUR REF - Qnj###,1743.49,,,,84,2025-06-20,export_bancaire_20250619.csv
85,2025-08-02,CARTE ETRANGERE EUR,TAUX 0.7721 - Laurent,1691.67,,,,85,2025-08-02,export_bancaire_20250802.csv
86,2025-04-06,REMBOURSEMENT - CB  Déjeuner d’équipe,ERREUR REF - KCo###,,1007.62,Espoir soutenir joli dehors gouvernement existence supérieur lendemain.,,86,2025-04-05,export_bancaire_20250406.csv
87,2025-05-19,REMBOURSEMENT - PAIEMENT CB Frais_Bancaires,TAUX 1.2591 - Joubertdan,,901.85,,,87,2025-05-21,export_bancaire_20250519.csv
88,2024-10-02,CARTE ETRANGERE GBP,TAUX 0.9593 - Sainte Audrey-les-Bains,2343.71,,,,88,2024-10-04,export_bancaire_20241002.csv
89,2025-01-08,CB  Outil Performance,ERREUR REF - gGa###,309.41,,,,89,2025-01-06,export_bancaire_20250108.csv
90,2025-09-19,CARTE BANCAIRE,REF MANQUANTE,1769.21,,,,90,2025-09-21,export_bancaire_20250919.csv
91,2024-04-24,VIR REF EXP202400091,TAUX 0.9524 - Renault,20779.23,,Absolument soin violent.,,91,2024-04-26,export_bancaire_20240424.csv
92,2025-07-27,VIR REF EXP202400092,TAUX 0.8928 - Delannoy,932.35,,,,92,2025-07-28,export_bancaire_20250727.csv
93,2025-01-22,CHÈQUE N° #500093,TAUX 0.7802 - Renaud,1189.39,,,,93,2025-01-23,export_bancaire_20250122.csv
94,2025-03-15,CHÈQUE N° #500094,ERREUR REF - Grq###,4710.96,,Qualité grâce haïr demain passé.,,94,2025-03-17,export_bancaire_20250315.csv
95,2025-06-10,PRÉLÈVEMENT AUTO Juridique_Conformité,REF: EXP202500095,6478.31,,,,95,2025-06-10,export_bancaire_20250610.csv
96,2025-01-16,CHÈQUE N° #500096,TAUX 1.3992 - PonsBourg,886.87,,,,96,2025-01-15,export_bancaire_20250116.csv
97,2025-04-13,VIR REF EXP202500097,ERREUR REF - Grj###,590.57,,,,97,2025-04-13,export_bancaire_20250413.csv
98,2025-02-13,PAIEMENT CB Outils_RH,TAUX 1.0349 - Sainte ChristianeVille,865.07,,,,98,2025-02-13,export_bancaire_20250213.csv
99,2026-04-24,DECAISSEMENT,OPERATION MANUELLE,135.22,,Révéler instant veiller jambe garde.,,99,2026-04-23,export_bancaire_20260424.csv
100,2025-05-08,CARTE ETRANGERE EUR,TAUX 0.9469 - Lévêque,493.76,,Sommeil étoile lui capable.,,100,2025-05-08,export_bancaire_20250508.csv
101,2024-08-28,OPERATION DIVERSE,N/D,6029.24,,,,101,2024-08-29,export_bancaire_20240828.csv
102,2024-09-23,CB  LinkedIn Recruiter,REF: EXP202400102,3524.75,,,,102,2024-09-25,export_bancaire_20240923.csv
103,2024-12-04,VIR REF EXP202500103,TAUX 1.4452 - Albertnec,1107.79,,,,103,2024-12-02,export_bancaire_20241204.csv
104,2025-01-21,VIREMENT EXTERNE,AUCUNE REFERENCE,2482.98,,,,104,2025-01-20,export_bancaire_20250121.csv
105,2024-11-23,CARTE ETRANGERE CAD,TAUX 1.4446 - Morvan-sur-Bernard,2729.31,,,,105,2024-11-25,export_bancaire_20241123.csv
106,2025-03-13,PRELEVEMENT SEPA,AUCUNE REFERENCE,1916.21,,,,106,2025-03-13,export_bancaire_20250313.csv
107,2024-09-25,PAIEMENT AUTOMATIQUE,OPERATION MANUELLE,589.76,,,,107,2024-09-26,export_bancaire_20240925.csv
108,2025-07-22,DD REF EXP202652502,ERREUR REF - iFw###,8570.23,,Haïr coup ciel veiller côte exécuter.,,108,2025-07-20,export_bancaire_20250722.csv
109,2024-10-04,REMBOURSEMENT - PAIEMENT AUTOMATIQUE,OPERATION MANUELLE,,149.51,,,109,2024-10-05,export_bancaire_20241004.csv
110,2024-04-24,DD REF EXP202174217,ERREUR REF - XaW###,12703.45,,,,110,2024-04-25,export_bancaire_20240424.csv
111,2025-04-06,OPERATION DIVERSE,N/D,4358.12,,Nul ainsi compagnie aucun chef.,,111,2025-04-05,export_bancaire_20250406.csv
112,2024-12-13,DD Cloudflare,ERREUR REF - UsY###,1351.89,,,,112,2024-12-14,export_bancaire_20241213.csv
113,2025-08-14,DD REF EXP202197423,ERREUR REF - JeH###,1182.77,,,,113,2025-08-16,export_bancaire_20250814.csv
114,2024-10-21,VIREMENT  EXP202400114,TAUX 1.1941 - Bertrand-sur-Brun,26622.52,,,,114,2024-10-19,export_bancaire_20241021.csv
115,2024-08-11,CARTE ETRANGERE EUR,TAUX 0.9026 - PhilippeVille,987.97,,Ramasser confier par chercher pierre roi.,,115,2024-08-11,export_bancaire_20240811.csv
116,2024-11-12,PRELEVEMENT SEPA,N/D,2716.91,,,,116,2024-11-12,export_bancaire_20241112.csv
117,2024-07-06,PRELEVEMENT SEPA,N/D,23249.25,,,,117,2024-07-04,export_bancaire_20240706.csv
118,2025-05-18,RÉCURRENCE Licence Windows Server,TAUX 1.0327 - Dupré,1103.57,,,,118,2025-05-16,export_bancaire_20250518.csv
119,2025-02-04,PAIEMENT CB Déplacements,REF: EXP202400119,1963.13,,,,119,2025-02-02,export_bancaire_20250204.csv
120,2025-02-02,REMBOURSEMENT - VIR REF EXP202500120,REF: EXP202500120,,6521.12,,,120,2025-02-01,export_bancaire_20250202.csv
121,2024-08-31,CB  Service bancaire,ERREUR REF - vON###,430.54,,,,121,2024-08-30,export_bancaire_20240831.csv
122,2024-08-10,PRELEVEMENT SEPA,REF MANQUANTE,503.42,,Papier police réserver public quel île soldat.,,122,2024-08-10,export_bancaire_20240810.csv
123,2024-09-20,CARTE ETRANGERE GBP,TAUX 1.1934 - Bernard,1002.99,,,,123,2024-09-22,export_bancaire_20240920.csv
124,2024-11-09,CARTE ETRANGERE CHF,TAUX 1.2477 - FernandezVille,320.2,,,,124,2024-11-09,export_bancaire_20241109.csv
125,2025-02-26,PAIEMENT CB Services_Cloud,ERREUR REF - Jyv###,1343.48,,,,125,2025-02-27,export_bancaire_20250226.csv
126,2024-09-01,VIREMENT  EXP202500126,ERREUR REF - wiR###,13879.5,,Article tendre espérer paraître près petit.,,126,2024-09-03,export_bancaire_20240901.csv
127,2025-05-04,CHÈQUE N° #400127,REF: EXP202400127,25498.26,,,,127,2025-05-04,export_bancaire_20250504.csv
128,2026-01-22,VIREMENT  EXP202500128,REF: EXP202500128,4743.58,,,,128,2026-01-23,export_bancaire_20260122.csv
129,2025-04-21,RÉCURRENCE Développement site web,ERREUR REF - hqx###,4108.05,,Or réel front surtout.,,129,2025-04-22,export_bancaire_20250421.csv
130,2024-06-19,CARTE ETRANGERE EUR,TAUX 1.0003 - Dias,14442.0,,,,130,2024-06-18,export_bancaire_20240619.csv
131,2025-04-14,TRANSFERT  Services_Publiques,TAUX 0.7577 - Bousquet,428.32,,Partie me immobile vaincre lourd accent.,,131,2025-04-12,export_bancaire_20250414.csv
132,2025-07-24,VIREMENT  EXP202500132,ERREUR REF - sZh###,7008.7,,,,132,2025-07-22,export_bancaire_20250724.csv
133,2023-11-18,VIREMENT  EXP202400133,ERREUR REF - yVJ###,8351.9,,,,133,2023-11-17,export_bancaire_20231118.csv
134,2025-11-24,PAIEMENT AUTOMATIQUE,AUCUNE REFERENCE,150.47,,Tenir impossible exemple gloire abandonner revoir.,,134,2025-11-22,export_bancaire_20251124.csv
135,2024-10-03,DD Mise en conformité RGPD,ERREUR REF - InB###,1757.79,,,,135,2024-10-04,export_bancaire_20241003.csv
136,2025-12-29,VIREMENT EXTERNE,REF MANQUANTE,979.85,,Crainte commencement transformer prouver lien vague.,,136,2025-12-28,export_bancaire_20251229.csv
137,2025-03-23,VIREMENT EXTERNE,OPERATION MANUELLE,979.97,,,,137,2025-03-25,export_bancaire_20250323.csv
138,2024-04-11,DD REF EXP202668844,ERREUR REF - veP###,2630.56,,,,138,2024-04-10,export_bancaire_20240411.csv
139,2025-05-24,VIREMENT EXTERNE,AUCUNE REFERENCE,782.99,,,,139,2025-05-26,export_bancaire_20250524.csv
140,2024-02-05,DD Chauffage bureau,ERREUR REF - axH###,612.42,,,,140,2024-02-03,export_bancaire_20240205.csv
141,2025-05-12,CHÈQUE N° #400141,REF: EXP202400141,4037.7,,,,141,2025-05-14,export_bancaire_20250512.csv
142,2025-12-06,CARTE BANCAIRE,OPERATION MANUELLE,240.68,,,,142,2025-12-08,export_bancaire_20251206.csv
143,2024-07-23,VIR REF EXP202500143,TAUX 0.8303 - Valette-la-Forêt,7394.21,,,,143,2024-07-25,export_bancaire_20240723.csv
144,2024-11-09,CHÈQUE N° #500144,TAUX 1.0769 - Seguin,11161.61,,Drame inspirer papier situation feu sein désert état.,,144,2024-11-11,export_bancaire_20241109.csv
145,2025-06-02,VIREMENT  EXP202400145,TAUX 1.0709 - Descamps,711.47,,,,145,2025-06-04,export_bancaire_20250602.csv
146,2025-06-11,CHÈQUE  EXP202400146,TAUX 1.3661 - Sainte Antoinette,7287.71,,,,146,2025-06-10,export_bancaire_20250611.csv
147,2024-04-21,CB  Support logiciel,ERREUR REF - BiL###,2170.68,,,,147,2024-04-21,export_bancaire_20240421.csv
148,2025-02-01,VIREMENT EXTERNE,N/D,526.18,,,,148,2025-01-30,export_bancaire_20250201.csv
149,2025-08-05,VIR REF EXP202500149,ERREUR REF - rop###,3095.99,,Membre mer rue anglais.,,149,2025-08-06,export_bancaire_20250805.csv
150,2025-02-15,VIREMENT EXTERNE,AUCUNE REFERENCE,265.27,,,,150,2025-02-16,export_bancaire_20250215.csv
151,2025-07-16,VIR REF EXP202500151,REF: EXP202500151,1344.67,,,,151,2025-07-17,export_bancaire_20250716.csv
152,2025-07-19,TRANSFERT  Services_Publiques,ERREUR REF - vcz###,3400.05,,Goutte vieil minute nature.,,152,2025-07-18,export_bancaire_20250719.csv
153,2024-07-05,REMBOURSEMENT - VIR REF EXP202500153,ERREUR REF - oOx###,,3026.09,,,153,2024-07-06,export_bancaire_20240705.csv
154,2025-07-28,CHÈQUE N° #500154,ERREUR REF - QCB###,293.46,,Leur charger quel président.,,154,2025-07-29,export_bancaire_20250728.csv
155,2024-08-11,DD Frais tenue de compte,REF: EXP202400155,321.61,,Poursuivre expression retomber point.,,155,2024-08-12,export_bancaire_20240811.csv
156,2025-09-29,CHÈQUE  EXP202500156,TAUX 0.8210 - Masse,5793.48,,,,156,2025-09-27,export_bancaire_20250929.csv
157,2024-09-24,CHÈQUE  EXP202500157,ERREUR REF - voN###,1005.52,,Sac âge pointe faveur genou.,,157,2024-09-25,export_bancaire_20240924.csv
158,2025-03-21,PAIEMENT AUTOMATIQUE,N/D,229.45,,,,158,2025-03-19,export_bancaire_20250321.csv
159,2025-05-12,REMBOURSEMENT - CHÈQUE  EXP202500159,ERREUR REF - EOp###,,8240.02,Voix rapide digne maladie.,,159,2025-05-13,export_bancaire_20250512.csv
160,2024-11-09,CB  Service bancaire,TAUX 0.9620 - Sainte Emmanuel,881.53,,Courage agir rayon camarade gauche compte pauvre.,,160,2024-11-07,export_bancaire_20241109.csv
161,2024-12-30,DD REF EXP202657029,ERREUR REF - KPr###,631.23,,,,161,2024-12-28,export_bancaire_20241230.csv
162,2025-01-14,CARTE ETRANGERE CHF,TAUX 1.3492 - Diaz,660.38,,,,162,2025-01-13,export_bancaire_20250114.csv
163,2025-04-24,CARTE BANCAIRE,OPERATION MANUELLE,13877.33,,,,163,2025-04-23,export_bancaire_20250424.csv
164,2025-05-03,PAIEMENT AUTOMATIQUE,REF MANQUANTE,724.43,,,,164,2025-05-02,export_bancaire_20250503.csv
165,2024-08-06,CHÈQUE N° #400165,TAUX 1.4085 - Charrier,6619.25,,,,165,2024-08-06,export_bancaire_20240806.csv
166,2024-03-13,CARTE ETRANGERE GBP,TAUX 1.0664 - JacquesBourg,266.74,,Passage gouvernement froid interrompre.,,166,2024-03-15,export_bancaire_20240313.csv
167,2024-04-16,VIREMENT  EXP202400167,REF: EXP202400167,129.74,,,,167,2024-04-17,export_bancaire_20240416.csv
168,2025-11-17,VIREMENT EXTERNE,bNG-###,12629.22,,Déclarer confiance disposer chair race centre fier.,,168,2025-11-16,export_bancaire_20251117.csv
169,2025-04-24,VIR REF EXP202500169,ERREUR REF - lKL###,44521.72,,Deviner ni appel tombe devant.,,169,2025-04-25,export_bancaire_20250424.csv
170,2025-01-26,REMBOURSEMENT - CARTE BANCAIRE,N/D,,225.8,Haut demander maladie drame inventer danger mort.,,170,2025-01-26,export_bancaire_20250126.csv
171,2025-06-28,CARTE ETRANGERE CHF,TAUX 0.8725 - Perrotdan,897.06,,,,171,2025-06-29,export_bancaire_20250628.csv
172,2024-07-31,CARTE ETRANGERE EUR,TAUX 0.8066 - Teixeira-les-Bains,6398.72,,,,172,2024-07-30,export_bancaire_20240731.csv
173,2025-07-20,PAIEMENT CB Abonnements,TAUX 1.1667 - MorinBourg,540.88,,,,173,2025-07-20,export_bancaire_20250720.csv
174,2025-05-15,CHÈQUE N° #500174,ERREUR REF - WwJ###,2020.8,,Attention jeune compter moi vin souffrir.,,174,2025-05-14,export_bancaire_20250515.csv
175,2024-12-30,DD REF EXP202780854,ERREUR REF - IlY###,478.02,,,,175,2024-12-29,export_bancaire_20241230.csv
176,2025-03-27,PRELEVEMENT SEPA,ulc-###,9644.54,,,,176,2025-03-28,export_bancaire_20250327.csv
177,2023-12-27,REMBOURSEMENT - VIREMENT  EXP202400177,TAUX 0.9776 - Meyer,,794.89,,,177,2023-12-27,export_bancaire_20231227.csv
178,2024-07-13,REMBOURSEMENT - OPERATION DIVERSE,N/D,,43.58,,,178,2024-07-15,export_bancaire_20240713.csv
179,2025-03-11,PAIEMENT CB Abonnements,TAUX 0.9885 - Sainte Grégoire,499.09,,,,179,2025-03-10,export_bancaire_20250311.csv
180,2025-04-18,CHÈQUE N° #400180,TAUX 0.8752 - Sainte Laurent-les-Bains,5763.37,,,,180,2025-04-19,export_bancaire_20250418.csv
181,2024-10-04,REMBOURSEMENT - DD Licence Salesforce,TAUX 0.8231 - Torresdan,,3026.21,Joindre pierre auprès.,,181,2024-10-03,export_bancaire_20241004.csv
182,2025-10-19,VIREMENT EXTERNE,REF MANQUANTE,238.45,,,,182,2025-10-19,export_bancaire_20251019.csv
183,2024-07-20,OPERATION DIVERSE,OPERATION MANUELLE,12310.17,,,,183,2024-07-22,export_bancaire_20240720.csv
184,2024-12-07,DECAISSEMENT,AUCUNE REFERENCE,3489.05,,,,184,2024-12-05,export_bancaire_20241207.csv
185,2024-11-04,CARTE ETRANGERE EUR,TAUX 1.3712 - Moulin-les-Bains,920.6,,,,185,2024-11-02,export_bancaire_20241104.csv
186,2025-09-08,PAIEMENT AUTOMATIQUE,REF MANQUANTE,7009.64,,,,186,2025-09-08,export_bancaire_20250908.csv
187,2024-08-14,PAIEMENT AUTOMATIQUE,REF MANQUANTE,2708.22,,Phrase route combien cerveau genre.,,187,2024-08-15,export_bancaire_20240814.csv
188,2024-12-07,VIR REF EXP202400188,TAUX 0.7847 - Bourdonboeuf,45.84,,Épaule presser bataille par.,,188,2024-12-07,export_bancaire_20241207.csv
189,2025-02-07,CHÈQUE  EXP202500189,ERREUR REF - vbY###,6009.13,,,,189,2025-02-06,export_bancaire_20250207.csv
190,2024-08-24,ESPECES  Location de voiture,REF: EXP202400190,1111.21,,,,190,2024-08-23,export_bancaire_20240824.csv
191,2026-01-13,REMBOURSEMENT - DECAISSEMENT,N/D,,34407.75,,,191,2026-01-13,export_bancaire_20260113.csv
192,2025-02-05,PAIEMENT CB Frais_Bancaires,TAUX 1.3468 - Mendès,243.93,,Au vous nécessaire depuis blond bras.,,192,2025-02-05,export_bancaire_20250205.csv
193,2025-01-21,VIR REF EXP202500193,REF: EXP202500193,1076.07,,,,193,2025-01-21,export_bancaire_20250121.csv
